Province,Region,District,Tehsil,admin_unit,Gender,Age Group,Population Reporting,% of Total Population
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Female,60 &  ABOVE,6528,4.9%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Male,60 &  ABOVE,8102,5.9%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Tgend,60 &  ABOVE,1,20%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Female,65 &  ABOVE,3882,2.9%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Male,65 &  ABOVE,5267,3.8%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Tgend,65 &  ABOVE,1,20%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Female,UNDER 1,2425,1.8%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Male,UNDER 1,2487,1.8%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Female,UNDER 10,45146,33.7%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Male,UNDER 10,45265,33%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Female,UNDER 15,61398,45.9%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Male,UNDER 15,61443,44.8%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Female,UNDER 5,24437,18.3%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Lakki Marwat,TEHSIL,Male,UNDER 5,24710,18%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,05 - 24,69569,47.1%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,05 - 24,73181,47.6%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Tgend,05 - 24,4,100%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,15 - 49,64709,43.8%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,15 - 49,64104,41.7%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Tgend,15 - 49,4,100%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,15 - 64,73665,49.9%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,15 - 64,74792,48.6%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Tgend,15 - 64,4,100%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,18 - 60,62772,42.5%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,18 - 60,62653,40.7%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Tgend,18 - 60,2,50%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,18 &  ABOVE,67444,45.7%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,18 &  ABOVE,69644,45.3%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Tgend,18 &  ABOVE,2,50%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,60 &  ABOVE,5291,3.6%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,60 &  ABOVE,7792,5.1%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,65 &  ABOVE,3051,2.1%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,65 &  ABOVE,4843,3.1%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,UNDER 1,2655,1.8%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,UNDER 1,2713,1.8%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,UNDER 10,51914,35.1%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,UNDER 10,53708,34.9%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,UNDER 15,70385,47.7%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,UNDER 15,73596,47.9%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Female,UNDER 5,27607,18.7%
Khyber Pakhtunkhwa,Rural,Lakki Marwat,Sarai Naurang,TEHSIL,Male,UNDER 5,28164,18.3%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,05 - 24,30876,40.8%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,05 - 24,31095,39.6%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,15 - 49,37654,49.7%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,15 - 49,38837,49.5%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,15 - 64,44320,58.5%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,15 - 64,46559,59.3%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,18 - 60,38580,50.9%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,18 - 60,40529,51.6%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,18 &  ABOVE,44197,58.3%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,18 &  ABOVE,47020,59.9%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,60 &  ABOVE,5943,7.8%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,60 &  ABOVE,6962,8.9%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,65 &  ABOVE,4341,5.7%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,65 &  ABOVE,4879,6.2%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,UNDER 1,1576,2.1%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,UNDER 1,1463,1.9%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,UNDER 10,19282,25.5%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,UNDER 10,19302,24.6%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,UNDER 15,26858,35.5%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,UNDER 15,26820,34.2%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Female,UNDER 5,10293,13.6%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Chitral,SUB-DIVISION,Male,UNDER 5,10345,13.2%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,05 - 24,24862,46.7%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,05 - 24,25287,45.3%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,15 - 49,23996,45.1%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,15 - 49,24610,44.1%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,15 - 64,27467,51.6%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,15 - 64,28877,51.7%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,18 - 60,23429,44%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,18 - 60,24707,44.3%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,18 &  ABOVE,26083,49%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,18 &  ABOVE,27810,49.8%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,60 &  ABOVE,2845,5.3%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,60 &  ABOVE,3364,6%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,65 &  ABOVE,1945,3.7%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,65 &  ABOVE,2337,4.2%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,UNDER 1,1306,2.5%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,UNDER 1,1372,2.5%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,UNDER 10,17284,32.5%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,UNDER 10,17826,31.9%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,UNDER 15,23736,44.6%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,UNDER 15,24571,44%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Female,UNDER 5,9014,16.9%
Khyber Pakhtunkhwa,Rural,Lower Chitral,Drosh,SUB-DIVISION,Male,UNDER 5,9291,16.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,05 - 24,86718,46.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,05 - 24,91147,47.3%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Tgend,05 - 24,6,85.7%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,15 - 49,87479,47%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,15 - 49,85029,44.1%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Tgend,15 - 49,6,85.7%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,15 - 64,98959,53.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,15 - 64,98333,51%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Tgend,15 - 64,7,100%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,18 - 60,84897,45.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,18 - 60,82326,42.7%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Tgend,18 - 60,7,100%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,18 &  ABOVE,91904,49.4%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,18 &  ABOVE,92108,47.8%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Tgend,18 &  ABOVE,7,100%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,60 &  ABOVE,7874,4.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,60 &  ABOVE,10781,5.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,65 &  ABOVE,4791,2.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,65 &  ABOVE,7037,3.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,UNDER 1,4001,2.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,UNDER 1,4083,2.1%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,UNDER 10,58702,31.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,UNDER 10,61670,32%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,UNDER 15,81575,43.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,UNDER 15,86866,45%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Female,UNDER 5,31297,16.8%
Khyber Pakhtunkhwa,Rural,Lower Dir,Adenzai,SUB-DIVISION,Male,UNDER 5,33183,17.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,05 - 24,60878,46.7%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,05 - 24,59953,51.3%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Tgend,05 - 24,1,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,15 - 49,61403,47.1%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,15 - 49,45044,38.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Tgend,15 - 49,1,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,15 - 64,69825,53.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,15 - 64,52243,44.7%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Tgend,15 - 64,1,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,18 - 60,59513,45.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,18 - 60,42009,35.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Tgend,18 - 60,1,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,18 &  ABOVE,65308,50.1%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,18 &  ABOVE,48736,41.7%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Tgend,18 &  ABOVE,1,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,60 &  ABOVE,6533,5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,60 &  ABOVE,7455,6.4%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,65 &  ABOVE,4221,3.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,65 &  ABOVE,5137,4.4%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,UNDER 1,2418,1.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,UNDER 1,2663,2.3%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,UNDER 10,40566,31.1%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,UNDER 10,42466,36.3%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,UNDER 15,56323,43.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,UNDER 15,59546,50.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Tgend,UNDER 15,1,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Female,UNDER 5,21521,16.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Lal Qila,SUB-DIVISION,Male,UNDER 5,22263,19%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,05 - 24,103334,47.8%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,05 - 24,106190,50.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Tgend,05 - 24,6,66.7%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,15 - 49,99131,45.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,15 - 49,86435,40.8%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Tgend,15 - 49,9,100%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,15 - 64,112513,52.1%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,15 - 64,99391,47%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Tgend,15 - 64,9,100%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,18 - 60,96214,44.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,18 - 60,82364,38.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Tgend,18 - 60,5,55.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,18 &  ABOVE,105034,48.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,18 &  ABOVE,92346,43.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Tgend,18 &  ABOVE,5,55.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,60 &  ABOVE,9775,4.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,60 &  ABOVE,10990,5.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,65 &  ABOVE,6207,2.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,65 &  ABOVE,7422,3.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,UNDER 1,4635,2.1%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,UNDER 1,4960,2.3%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,UNDER 10,70334,32.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,UNDER 10,75177,35.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,UNDER 15,97304,45%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,UNDER 15,104782,49.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Female,UNDER 5,36370,16.8%
Khyber Pakhtunkhwa,Rural,Lower Dir,Samarbagh,SUB-DIVISION,Male,UNDER 5,39166,18.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,05 - 24,131505,46.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,05 - 24,133601,49.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Tgend,05 - 24,7,87.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,15 - 49,133496,47.6%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,15 - 49,111479,41.7%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Tgend,15 - 49,4,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,15 - 64,151502,54%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,15 - 64,128352,48%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Tgend,15 - 64,4,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,18 - 60,129926,46.3%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,18 - 60,105696,39.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Tgend,18 - 60,4,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,18 &  ABOVE,141767,50.5%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,18 &  ABOVE,120143,44.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Tgend,18 &  ABOVE,4,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,60 &  ABOVE,13180,4.7%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,60 &  ABOVE,15831,5.9%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,65 &  ABOVE,8506,3%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,65 &  ABOVE,10750,4%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,UNDER 1,5566,2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,UNDER 1,5835,2.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,UNDER 10,86894,31%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,UNDER 10,91894,34.3%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,UNDER 15,120625,43%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,UNDER 15,128524,48%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Tgend,UNDER 15,4,50%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Female,UNDER 5,45492,16.2%
Khyber Pakhtunkhwa,Rural,Lower Dir,Temergara,SUB-DIVISION,Male,UNDER 5,48188,18%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,05 - 24,44552,44.3%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,05 - 24,47966,45.6%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Tgend,05 - 24,6,85.7%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,15 - 49,31029,30.8%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,15 - 49,30176,28.7%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Tgend,15 - 49,4,57.1%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,15 - 64,33739,33.5%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,15 - 64,33425,31.8%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Tgend,15 - 64,4,57.1%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,18 - 60,26640,26.5%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,18 - 60,26001,24.7%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Tgend,18 - 60,4,57.1%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,18 &  ABOVE,28021,27.8%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,18 &  ABOVE,28055,26.7%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Tgend,18 &  ABOVE,4,57.1%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,60 &  ABOVE,1636,1.6%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,60 &  ABOVE,2363,2.2%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,65 &  ABOVE,990,1%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,65 &  ABOVE,1496,1.4%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,UNDER 1,3499,3.5%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,UNDER 1,3024,2.9%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,UNDER 10,38344,38.1%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,UNDER 10,42514,40.4%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,UNDER 15,50980,50.6%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,UNDER 15,56420,53.7%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Tgend,UNDER 15,3,42.9%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Female,UNDER 5,22032,21.9%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Bankand Ranolia,TEHSIL,Male,UNDER 5,24465,23.3%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Pattan,SUB-DIVISION,Female,05 - 24,30114,45.9%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Pattan,SUB-DIVISION,Male,05 - 24,31830,46.5%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Pattan,SUB-DIVISION,Tgend,05 - 24,3,75%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Pattan,SUB-DIVISION,Female,15 - 49,24233,36.9%
Khyber Pakhtunkhwa,Rural,Lower Kohistan,Pattan,SUB-DIVISION,Male,15 - 49,24633,36%
