Province,Region,District,Tehsil,admin_unit,Gender,Age Group,Population Reporting,% of Total Population
Balochistan,Rural,Awaran,Jhal Jao,TEHSIL,Male,UNDER 1,242,1.7%
Balochistan,Rural,Awaran,Jhal Jao,TEHSIL,Female,UNDER 10,5030,36.7%
Balochistan,Rural,Awaran,Jhal Jao,TEHSIL,Male,UNDER 10,5259,36.5%
Balochistan,Rural,Awaran,Jhal Jao,TEHSIL,Female,UNDER 15,6953,50.7%
Balochistan,Rural,Awaran,Jhal Jao,TEHSIL,Male,UNDER 15,7326,50.8%
Balochistan,Rural,Awaran,Jhal Jao,TEHSIL,Female,UNDER 5,2518,18.4%
Balochistan,Rural,Awaran,Jhal Jao,TEHSIL,Male,UNDER 5,2598,18%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,05 - 24,6761,50.4%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,05 - 24,7291,51.2%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Tgend,05 - 24,1,100%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,15 - 49,5407,40.3%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,15 - 49,5777,40.6%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Tgend,15 - 49,1,100%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,15 - 64,6105,45.5%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,15 - 64,6604,46.4%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Tgend,15 - 64,1,100%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,18 - 60,5242,39.1%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,18 - 60,5514,38.7%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,18 &  ABOVE,5574,41.6%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,18 &  ABOVE,5956,41.8%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,60 &  ABOVE,376,2.8%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,60 &  ABOVE,505,3.5%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Female,65 &  ABOVE,227,1.7%
Balochistan,Rural,Awaran,Korak Jhao,TEHSIL,Male,65 &  ABOVE,292,2.1%
