DISTRICT,PROVINCE,hci,fci,lap,soi,archetype_tercile,archetype_median,cluster,literacy_rate_calc,urdu_pct,dependency_ratio,electrification,flush_toilet
BATAGRAM,,0.508537445272082,0.462002991681291,0.390664530000821,0.473338599213861,Other,Anchor,4,0.39090474546565,0.000614511508535384,0.96902080108187,0.671922130957353,0.73161167571581
BATAGRAM,KPK,0.508537445272082,0.462002991681291,0.390664530000821,0.473338599213861,Other,Anchor,4,0.39090474546565,0.000614511508535384,0.96902080108187,0.671922130957353,0.73161167571581
CHAKWAL,PUNJAB,0.818092020802584,0.160265360940979,0.764989301332387,0.596179606407734,Vanguard,Vanguard,3,0.777870947612219,0.0165601329107016,0.655735447802936,0.969810066542491,0.914270282996005
CHAKWAL,,0.818092020802584,0.160265360940979,0.764989301332387,0.596179606407734,Vanguard,Vanguard,3,0.777870947612219,0.0165601329107016,0.655735447802936,0.969810066542491,0.914270282996005
CHAMAN,,0.314065513928467,0.367939289936589,0.399243794371218,0.403676451540504,Other,Anchor,4,0.399674143306566,0.00107674950345118,1.25451538495017,0.671081321166115,0.64120164741985
CHAMAN,BALOCHISTAN,0.314065513928467,0.367939289936589,0.399243794371218,0.403676451540504,Other,Anchor,4,0.399674143306566,0.00107674950345118,1.25451538495017,0.671081321166115,0.64120164741985
JHANG,,0.713041629681994,0.264350641145084,0.566483200995855,0.495853462162183,Vanguard,Vanguard,2,0.594498916296832,0.0471249224060628,0.772824477805279,0.924412447992781,0.766290175386535
JHANG,PUNJAB,0.713041629681994,0.264350641145084,0.566483200995855,0.495853462162183,Vanguard,Vanguard,2,0.594498916296832,0.0471249224060628,0.772824477805279,0.924412447992781,0.766290175386535
MUZAFFARGARH,PUNJAB,0.550677444759383,0.306299383136765,0.460734916752695,0.459985220900044,Other,Vanguard,2,0.479880547100642,0.0398966585822697,0.935240545761399,0.910895556898108,0.760637861463531
MUZAFFARGARH,,0.550677444759383,0.306299383136765,0.460734916752695,0.459985220900044,Other,Vanguard,2,0.479880547100642,0.0398966585822697,0.935240545761399,0.910895556898108,0.760637861463531
PANJGUR,BALOCHISTAN,0.3420626152383,0.510492559868262,0.420281940060181,0.589280488047819,Anchor,Anchor,4,0.420651612375046,0.000878808743362346,0.771807811815736,0.458574246940362,0.224752111641572
PANJGUR,,0.3420626152383,0.510492559868262,0.420281940060181,0.589280488047819,Anchor,Anchor,4,0.420651612375046,0.000878808743362346,0.771807811815736,0.458574246940362,0.224752111641572
QUETTA,BALOCHISTAN,0.66334954271135,0.188365207115228,0.548496721700323,0.516623863532761,Other,Vanguard,2,0.562882976555062,0.02555816298227,0.890994072977557,0.929421512242641,0.86281585944623
QUETTA,,0.66334954271135,0.188365207115228,0.548496721700323,0.516623863532761,Other,Vanguard,2,0.562882976555062,0.02555816298227,0.890994072977557,0.929421512242641,0.86281585944623
