"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","LIGHT_ELECT","LIGHT_SOLAR","LIGHT_OTHERS","FUEL_GAS","FUEL_LPGCNG","FUEL_FIREWOOD","FUEL_OTHERS","SEP_KITCHEN","NO_KITCHEN"
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","OVERALL",42810,24835,11997,5978,1149,5120,30149,6392,22242,1415
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","RURAL",42810,24835,11997,5978,1149,5120,30149,6392,22242,1415
"BALOCHISTAN","QUETTA","CHAMAN","CHAMAN SADDAR","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","OVERALL",4831,85,609,4137,12,7,4767,45,844,2655
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","RURAL",4831,85,609,4137,12,7,4767,45,844,2655
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","OVERALL",9607,6131,847,2629,2905,14,6153,535,3002,4768
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","RURAL",4178,1185,803,2190,63,12,3615,488,1193,2547
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","URBAN",5429,4946,44,439,2842,2,2538,47,1809,2221
"BALOCHISTAN","SIBI","DERA BUGTI","LOTI","SUB-TEHSIL","OVERALL",4565,27,303,4235,9,NA,3582,974,465,3960
"BALOCHISTAN","SIBI","DERA BUGTI","LOTI","SUB-TEHSIL","RURAL",4565,27,303,4235,9,NA,3582,974,465,3960
"BALOCHISTAN","SIBI","DERA BUGTI","LOTI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","MALAM","SUB-TEHSIL","OVERALL",4435,16,1506,2913,18,NA,4045,372,2143,974
"BALOCHISTAN","SIBI","DERA BUGTI","MALAM","SUB-TEHSIL","RURAL",4435,16,1506,2913,18,NA,4045,372,2143,974
"BALOCHISTAN","SIBI","DERA BUGTI","MALAM","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","PIR KOH","SUB-TEHSIL","OVERALL",8519,245,1145,7129,1253,2,6571,693,1933,4783
"BALOCHISTAN","SIBI","DERA BUGTI","PIR KOH","SUB-TEHSIL","RURAL",8519,245,1145,7129,1253,2,6571,693,1933,4783
"BALOCHISTAN","SIBI","DERA BUGTI","PIR KOH","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","QADIRABAD","SUB-DIVISION","OVERALL",3848,13,1300,2535,12,NA,3179,657,1725,1031
"BALOCHISTAN","SIBI","DERA BUGTI","QADIRABAD","SUB-DIVISION","RURAL",3848,13,1300,2535,12,NA,3179,657,1725,1031
"BALOCHISTAN","SIBI","DERA BUGTI","QADIRABAD","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","SANGSILLAH","SUB-TEHSIL","OVERALL",2494,376,105,2013,354,2,1980,158,251,1217
"BALOCHISTAN","SIBI","DERA BUGTI","SANGSILLAH","SUB-TEHSIL","RURAL",2494,376,105,2013,354,2,1980,158,251,1217
"BALOCHISTAN","SIBI","DERA BUGTI","SANGSILLAH","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","SUI","SUB-DIVISION","OVERALL",23968,14463,2410,7095,10229,33,11398,2308,6202,9376
"BALOCHISTAN","SIBI","DERA BUGTI","SUI","SUB-DIVISION","RURAL",9569,1114,2223,6232,208,17,7242,2102,702,7707
"BALOCHISTAN","SIBI","DERA BUGTI","SUI","SUB-DIVISION","URBAN",14399,13349,187,863,10021,16,4156,206,5500,1669
"BALOCHISTAN","LORALAI","DUKI","DUKI","SUB-DIVISION","OVERALL",26606,18557,5518,2531,187,64,24583,1772,11099,2411
"BALOCHISTAN","LORALAI","DUKI","DUKI","SUB-DIVISION","RURAL",23613,15924,5220,2469,135,36,21713,1729,9134,2100
"BALOCHISTAN","LORALAI","DUKI","DUKI","SUB-DIVISION","URBAN",2993,2633,298,62,52,28,2870,43,1965,311
