"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","SEX_AGE_GROUP_IN_YEARS","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","TRANSGENDER_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","TRANSGENDER_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN","TRANSGENDER_URBAN","AGE_GROUP_IN_YEARS"
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","ALL AGES",27652,14237,13414,1,27652,14237,13414,1,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","UNDER 1",620,349,271,NA,620,349,271,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","UNDER 5",5052,2540,2512,NA,5052,2540,2512,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","UNDER 10",10195,5160,5035,NA,10195,5160,5035,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","UNDER 15",14423,7341,7082,NA,14423,7341,7082,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","05 - 24",14053,7291,6761,1,14053,7291,6761,1,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","15 - 49",11185,5777,5407,1,11185,5777,5407,1,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","15 - 64",12710,6604,6105,1,12710,6604,6105,1,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","18 - 60",10756,5514,5242,NA,10756,5514,5242,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","18 &  ABOVE",11530,5956,5574,NA,11530,5956,5574,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","60 &  ABOVE",881,505,376,NA,881,505,376,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","65 &  ABOVE",519,292,227,NA,519,292,227,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","ALL AGES",45938,23674,22258,6,27882,14242,13635,5,18056,9432,8623,1,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","UNDER 1",618,303,315,NA,412,192,220,NA,206,111,95,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","UNDER 5",7062,3426,3636,NA,4490,2197,2293,NA,2572,1229,1343,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","UNDER 10",13899,6845,7054,NA,8892,4366,4526,NA,5007,2479,2528,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","UNDER 15",20371,10209,10162,NA,12938,6470,6468,NA,7433,3739,3694,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","05 - 24",22345,11588,10755,2,13526,6860,6665,1,8819,4728,4090,1,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","15 - 49",21452,11213,10233,6,12456,6422,6029,5,8996,4791,4204,1,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","15 - 64",24232,12747,11479,6,14171,7368,6798,5,10061,5379,4681,1,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","18 - 60",20638,10861,9772,5,12094,6283,5807,4,8544,4578,3965,1,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","18 &  ABOVE",22468,11877,10586,5,13163,6868,6291,4,9305,5009,4295,1,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","60 &  ABOVE",2045,1137,908,NA,1211,664,547,NA,834,473,361,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","65 &  ABOVE",1335,718,617,NA,773,404,369,NA,562,314,248,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","ALL AGES",210249,109624,100617,8,195824,102226,93591,7,14425,7398,7026,1,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","UNDER 1",6341,3210,3131,NA,6017,3053,2964,NA,324,157,167,NA,NA
