"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","SEX_AGE_GROUP_IN_YEARS","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","TRANSGENDER_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","TRANSGENDER_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN","TRANSGENDER_URBAN","AGE_GROUP_IN_YEARS"
"BALOCHISTAN","QUETTA","QUETTA","PANJPAI","SUB-TEHSIL","15 - 49",9231,4556,4675,NA,9231,4556,4675,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","QUETTA","PANJPAI","SUB-TEHSIL","15 - 64",10327,5148,5179,NA,10327,5148,5179,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","QUETTA","PANJPAI","SUB-TEHSIL","18 - 60",8677,4309,4368,NA,8677,4309,4368,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","QUETTA","PANJPAI","SUB-TEHSIL","18 &  ABOVE",9400,4745,4655,NA,9400,4745,4655,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","QUETTA","PANJPAI","SUB-TEHSIL","60 &  ABOVE",798,478,320,NA,798,478,320,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","QUETTA","PANJPAI","SUB-TEHSIL","65 &  ABOVE",500,311,189,NA,500,311,189,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","ALL AGES",191673,105338,86329,6,191673,105338,86329,6,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","UNDER 1",4712,2672,2040,NA,4712,2672,2040,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","UNDER 5",41653,23661,17992,NA,41653,23661,17992,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","UNDER 10",75400,43083,32317,NA,75400,43083,32317,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","UNDER 15",103341,59468,43873,NA,103341,59468,43873,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","05 - 24",97856,55384,42467,5,97856,55384,42467,5,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","15 - 49",78143,40158,37979,6,78143,40158,37979,6,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","15 - 64",85604,44255,41343,6,85604,44255,41343,6,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","18 - 60",68721,34013,34707,1,68721,34013,34707,1,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","18 &  ABOVE",72564,36312,36251,1,72564,36312,36251,1,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","60 &  ABOVE",4377,2616,1761,NA,4377,2616,1761,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","65 &  ABOVE",2728,1615,1113,NA,2728,1615,1113,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","ALL AGES",9748,5133,4615,NA,9748,5133,4615,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","UNDER 1",182,83,99,NA,182,83,99,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","UNDER 5",2100,1014,1086,NA,2100,1014,1086,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","UNDER 10",4002,2060,1942,NA,4002,2060,1942,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","UNDER 15",5369,2878,2491,NA,5369,2878,2491,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","05 - 24",4793,2692,2101,NA,4793,2692,2101,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","15 - 49",3890,1958,1932,NA,3890,1958,1932,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","15 - 64",4275,2198,2077,NA,4275,2198,2077,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","18 - 60",3705,1833,1872,NA,3705,1833,1872,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","18 &  ABOVE",3853,1918,1935,NA,3853,1918,1935,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","60 &  ABOVE",184,106,78,NA,184,106,78,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","65 &  ABOVE",104,57,47,NA,104,57,47,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","ALL AGES",53999,27492,26505,2,53999,27492,26505,2,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","UNDER 1",1320,644,676,NA,1320,644,676,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","UNDER 5",12142,6082,6060,NA,12142,6082,6060,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","UNDER 10",22446,11227,11219,NA,22446,11227,11219,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","UNDER 15",30009,15179,14830,NA,30009,15179,14830,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","05 - 24",26592,13678,12914,NA,26592,13678,12914,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","15 - 49",19661,10026,9635,NA,19661,10026,9635,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","15 - 64",22839,11687,11152,NA,22839,11687,11152,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","18 - 60",18452,9289,9163,NA,18452,9289,9163,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","18 &  ABOVE",20136,10198,9936,2,20136,10198,9936,2,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","60 &  ABOVE",1898,1017,879,2,1898,1017,879,2,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","65 &  ABOVE",1151,626,523,2,1151,626,523,2,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","ALL AGES",5431,2704,2727,NA,5431,2704,2727,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","UNDER 1",56,30,26,NA,56,30,26,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","UNDER 5",1056,581,475,NA,1056,581,475,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","UNDER 10",1920,1003,917,NA,1920,1003,917,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","UNDER 15",2741,1412,1329,NA,2741,1412,1329,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","05 - 24",3138,1573,1565,NA,3138,1573,1565,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","15 - 49",2496,1178,1318,NA,2496,1178,1318,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","15 - 64",2645,1275,1370,NA,2645,1275,1370,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","18 - 60",2149,999,1150,NA,2149,999,1150,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","18 &  ABOVE",2211,1029,1182,NA,2211,1029,1182,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","60 &  ABOVE",70,35,35,NA,70,35,35,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","65 &  ABOVE",45,17,28,NA,45,17,28,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","ALL AGES",154970,79704,75263,3,85670,44610,41057,3,69300,35094,34206,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","UNDER 1",2983,1520,1463,NA,1378,679,699,NA,1605,841,764,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","UNDER 5",28136,14536,13600,NA,16583,8647,7936,NA,11553,5889,5664,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","UNDER 10",51245,26462,24783,NA,31179,16469,14710,NA,20066,9993,10073,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","UNDER 15",70517,36214,34303,NA,42768,22456,20312,NA,27749,13758,13991,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","05 - 24",71227,36380,34845,2,42006,22009,19995,2,29221,14371,14850,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","15 - 49",70289,35699,34587,3,36413,18562,17848,3,33876,17137,16739,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","15 - 64",80808,41525,39280,3,41204,21230,19971,3,39604,20295,19309,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","18 - 60",68807,35229,33576,2,34650,17759,16889,2,34157,17470,16687,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","18 &  ABOVE",74254,38216,36036,2,37107,19117,17988,2,37147,19099,18048,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","60 &  ABOVE",6027,3304,2723,NA,2725,1514,1211,NA,3302,1790,1512,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","65 &  ABOVE",3645,1965,1680,NA,1698,924,774,NA,1947,1041,906,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","ALL AGES",68948,35135,33813,NA,68948,35135,33813,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","UNDER 1",2189,1125,1064,NA,2189,1125,1064,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","UNDER 5",17232,8978,8254,NA,17232,8978,8254,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","UNDER 10",30180,15612,14568,NA,30180,15612,14568,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","UNDER 15",39324,20200,19124,NA,39324,20200,19124,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","05 - 24",32891,16758,16133,NA,32891,16758,16133,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","15 - 49",24708,12493,12215,NA,24708,12493,12215,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","15 - 64",28240,14239,14001,NA,28240,14239,14001,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","18 - 60",23461,11777,11684,NA,23461,11777,11684,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","18 &  ABOVE",25543,12837,12706,NA,25543,12837,12706,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","60 &  ABOVE",2271,1151,1120,NA,2271,1151,1120,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","65 &  ABOVE",1384,696,688,NA,1384,696,688,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","ALL AGES",16891,8439,8452,NA,16891,8439,8452,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","UNDER 1",494,217,277,NA,494,217,277,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","UNDER 5",3562,1701,1861,NA,3562,1701,1861,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","UNDER 10",7072,3514,3558,NA,7072,3514,3558,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","UNDER 15",9435,4714,4721,NA,9435,4714,4721,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","05 - 24",8559,4369,4190,NA,8559,4369,4190,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","15 - 49",6215,3092,3123,NA,6215,3092,3123,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","15 - 64",7150,3574,3576,NA,7150,3574,3576,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","18 - 60",5988,2949,3039,NA,5988,2949,3039,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","18 &  ABOVE",6455,3190,3265,NA,6455,3190,3265,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","60 &  ABOVE",508,266,242,NA,508,266,242,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","HAIR DIN","TEHSIL","65 &  ABOVE",306,151,155,NA,306,151,155,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","ALL AGES",23624,11876,11748,NA,23624,11876,11748,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","UNDER 1",1273,628,645,NA,1273,628,645,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","UNDER 5",6912,3524,3388,NA,6912,3524,3388,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","UNDER 10",10956,5525,5431,NA,10956,5525,5431,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","UNDER 15",13995,7056,6939,NA,13995,7056,6939,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","05 - 24",10591,5261,5330,NA,10591,5261,5330,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","15 - 49",8076,4045,4031,NA,8076,4045,4031,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","15 - 64",9222,4632,4590,NA,9222,4632,4590,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","18 - 60",7654,3862,3792,NA,7654,3862,3792,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","18 &  ABOVE",8280,4163,4117,NA,8280,4163,4117,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","60 &  ABOVE",681,333,348,NA,681,333,348,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","MANJHIPUR","TEHSIL","65 &  ABOVE",407,188,219,NA,407,188,219,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","ALL AGES",47624,24939,22685,NA,47624,24939,22685,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","UNDER 1",1312,697,615,NA,1312,697,615,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","UNDER 5",11100,5794,5306,NA,11100,5794,5306,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","UNDER 10",20671,10857,9814,NA,20671,10857,9814,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","UNDER 15",26715,14148,12567,NA,26715,14148,12567,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","05 - 24",23075,12280,10795,NA,23075,12280,10795,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","15 - 49",17507,8985,8522,NA,17507,8985,8522,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","15 - 64",19914,10264,9650,NA,19914,10264,9650,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","18 - 60",16810,8536,8274,NA,16810,8536,8274,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","18 &  ABOVE",18246,9313,8933,NA,18246,9313,8933,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","60 &  ABOVE",1580,852,728,NA,1580,852,728,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","PANHWAR","TEHSIL","65 &  ABOVE",995,527,468,NA,995,527,468,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","ALL AGES",18175,8998,9176,1,18175,8998,9176,1,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","UNDER 1",564,287,277,NA,564,287,277,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","UNDER 5",4545,2242,2303,NA,4545,2242,2303,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","UNDER 10",8169,3974,4195,NA,8169,3974,4195,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","UNDER 15",10704,5246,5458,NA,10704,5246,5458,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","05 - 24",8985,4428,4556,1,8985,4428,4556,1,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","15 - 49",6184,3116,3067,1,6184,3116,3067,1,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","15 - 64",7138,3592,3545,1,7138,3592,3545,1,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","18 - 60",5604,2789,2815,NA,5604,2789,2815,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","18 &  ABOVE",6140,3046,3094,NA,6140,3046,3094,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","60 &  ABOVE",567,272,295,NA,567,272,295,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SAEED MUHAMMAD KANRANI","TEHSIL","65 &  ABOVE",333,160,173,NA,333,160,173,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","ALL AGES",64844,32476,32367,1,50116,24992,25123,1,14728,7484,7244,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","UNDER 1",2336,1101,1235,NA,1796,837,959,NA,540,264,276,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","UNDER 5",14381,7041,7340,NA,11266,5494,5772,NA,3115,1547,1568,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","UNDER 10",26177,12950,13227,NA,20160,9912,10248,NA,6017,3038,2979,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","UNDER 15",35607,17800,17806,1,27108,13466,13641,1,8499,4334,4165,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","05 - 24",32133,16336,15796,1,24213,12237,11975,1,7920,4099,3821,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","15 - 49",24670,12424,12246,NA,19422,9778,9644,NA,5248,2646,2602,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","15 - 64",27989,14083,13906,NA,22007,11051,10956,NA,5982,3032,2950,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","18 - 60",23260,11592,11668,NA,18649,9305,9344,NA,4611,2287,2324,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","18 &  ABOVE",25147,12502,12645,NA,20140,10024,10116,NA,5007,2478,2529,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","60 &  ABOVE",2076,1004,1072,NA,1650,796,854,NA,426,208,218,NA,NA
"BALOCHISTAN","NASIRABAD","SOHBATPUR","SOHBATPUR","SUB-DIVISION","65 &  ABOVE",1248,593,655,NA,1001,475,526,NA,247,118,129,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","ALL AGES",27503,14948,12549,6,27503,14948,12549,6,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","UNDER 1",1058,593,465,NA,1058,593,465,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","UNDER 5",7585,4220,3365,NA,7585,4220,3365,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","UNDER 10",13544,7620,5924,NA,13544,7620,5924,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","UNDER 15",17154,9628,7526,NA,17154,9628,7526,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","05 - 24",14390,8185,6199,6,14390,8185,6199,6,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","15 - 49",9495,4909,4580,6,9495,4909,4580,6,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","15 - 64",10110,5198,4906,6,10110,5198,4906,6,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","18 - 60",8319,4131,4186,2,8319,4131,4186,2,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","18 &  ABOVE",8638,4296,4340,2,8638,4296,4340,2,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","60 &  ABOVE",350,182,168,NA,350,182,168,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","DASHT E GORAN","SUB-DIVISION","65 &  ABOVE",239,122,117,NA,239,122,117,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","GIDDER","SUB-DIVISION","ALL AGES",89631,46371,43260,NA,89631,46371,43260,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","GIDDER","SUB-DIVISION","UNDER 1",2401,1161,1240,NA,2401,1161,1240,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","GIDDER","SUB-DIVISION","UNDER 5",19643,10146,9497,NA,19643,10146,9497,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","GIDDER","SUB-DIVISION","UNDER 10",34843,18214,16629,NA,34843,18214,16629,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","GIDDER","SUB-DIVISION","UNDER 15",46224,24396,21828,NA,46224,24396,21828,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","GIDDER","SUB-DIVISION","05 - 24",46271,24127,22144,NA,46271,24127,22144,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","GIDDER","SUB-DIVISION","15 - 49",38925,19563,19362,NA,38925,19563,19362,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","GIDDER","SUB-DIVISION","15 - 64",42085,21212,20873,NA,42085,21212,20873,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","SURAB","GIDDER","SUB-DIVISION","18 - 60",34972,17297,17675,NA,34972,17297,17675,NA,NA,NA,NA,NA,NA
