"","Region","Division","District","Households","Pop2023","AHS","Pop2017","GR"
"80","KP","Hazara","Upper Kohistan",71543,422947,5.91,305451,5.59
"81","KP","Kohat","Hangu",61163,528902,8.65,518811,0.32
"82","KP","Kohat","Karak",96026,815878,8.5,705362,2.46
"83","KP","Kohat","Kohat",169734,1234661,7.27,1111266,1.78
"84","KP","Kohat","Kurram",94575,785434,8.3,615372,4.16
"85","KP","Kohat","Orakzai",52108,387561,7.44,254303,7.3
"86","KP","Malakand","Bajaur",181721,1287960,7.09,1090987,2.81
"87","KP","Malakand","Buner",118692,1016869,8.57,895460,2.15
"88","KP","Malakand","Lower Chitral",46050,320407,6.96,278328,2.38
"89","KP","Malakand","Lower Dir",202899,1650183,8.13,1436082,2.35
"90","KP","Malakand","Malakand Protected Area",113159,826250,7.3,717806,2.38
"91","KP","Malakand","Shangla",125551,891252,7.1,759609,2.71
"92","KP","Malakand","Swat",381246,2687384,7.05,2308624,2.57
"93","KP","Malakand","Upper Chitral",26368,195528,7.42,169297,2.44
"94","KP","Malakand","Upper Dir",149557,1083566,7.25,947401,2.27
"95","KP","Mardan","Mardan",400904,2744898,6.85,2373399,2.46
"96","KP","Mardan","Swabi",279035,1894600,6.79,1625477,2.59
"97","KP","Peshawar","Charsadda",263993,1835504,6.95,1610960,2.2
"98","KP","Peshawar","Khyber",166829,1146267,6.87,984246,2.58
"99","KP","Peshawar","Mohmand",63982,553933,8.66,474345,2.63
"100","KP","Peshawar","Nowshera",259911,1740705,6.7,1520995,2.28
"101","KP","Peshawar","Peshawar",691505,4758762,6.88,4331959,1.58
"102","Balochistan","Kalat","Awaran",27808,178958,6.44,121821,6.64
"103","Balochistan","Kalat","Kalat",33415,272506,8.16,211201,4.35
"104","Balochistan","Kalat","Khuzdar",161594,997214,6.17,798896,3.78
"105","Balochistan","Kalat","Lasbela",115635,680977,5.89,576271,2.83
"106","Balochistan","Kalat","Mastung",43736,313271,7.16,265676,2.79
"107","Balochistan","Kalat","Surab",51021,278092,5.45,200857,5.59
"108","Balochistan","Loralai","Barkhan",23069,210249,9.11,171025,3.51
"109","Balochistan","Loralai","Duki",43069,205044,4.76,152977,5.02
"110","Balochistan","Loralai","Loralai",38284,272432,7.12,244446,1.83
"111","Balochistan","Loralai","Musakhel",31257,182275,5.83,167243,1.45
"112","Balochistan","Mekran","Gwadar",50376,305160,6.06,262253,2.56
"113","Balochistan","Mekran","Kech",253526,1060931,4.18,907182,2.65
"114","Balochistan","Mekran","Panjgur",117157,509781,4.35,315353,8.36
"115","Balochistan","Nasirabad","Jaffarabad",81580,594558,7.29,513972,2.46
"116","Balochistan","Nasirabad","Jhal Magsi",30967,203368,6.57,148900,5.35
"117","Balochistan","Nasirabad","Kachhi",50035,442612,8.85,309932,6.14
"118","Balochistan","Nasirabad","Nasirabad",87540,563377,6.44,487847,2.43
"119","Balochistan","Nasirabad","Sohbatpur",33738,240106,7.12,200426,3.06
"120","Balochistan","Quetta","Chaman",61942,466218,7.53,434561,1.18
"121","Balochistan","Quetta","Killa Abdullah",67308,361971,5.38,323793,1.88
"122","Balochistan","Quetta","Pishin",147241,835482,5.67,736903,2.12
"123","Balochistan","Quetta","Quetta",288690,2595492,8.99,2269473,2.27
