...1,Region,Division,District,Households,Pop2023,AHS,Pop2017,GR,DistrictKey,Energy_LIGHT_ELECT,Energy_LIGHT_SOLAR,Energy_LIGHT_OTHERS,Energy_FUEL_GAS,Energy_FUEL_LPGCNG,Energy_FUEL_FIREWOOD,Energy_FUEL_OTHERS,Energy_SEP_KITCHEN,Energy_NO_KITCHEN,Energy_HOUSEHOLDS,San_TOILET_SEPARATE,San_TOILET_FLUSH,San_TOILET_NON_FLUSH,San_TOILET_NONE,San_WASHROOM_SEPARATE,San_WASHROOM_NONE,San_HOUSEHOLDS,Wtr_DRINK_WTR_IMPROVE,Wtr_DRINK_WTR_INSIDE,Wtr_DRINK_WTR_OUTSIDE,Wtr_DRINK_WTR_TAP,Wtr_DRINK_WTR_MOTOR,Wtr_DRINK_WTR_WELL,Wtr_DRINK_WTR_FILTER,Wtr_DRINK_WTR_BOTTLE,Wtr_DRINK_WTR_OTHER,Wtr_HOUSEHOLDS,Disab_Communication,Disab_Disability,Disab_Functional limitation,Disab_Hearing,Disab_Memorization/ Focus,Disab_Population,Disab_Seeing,Disab_Self care etc,Disab_Walking/ Climbing,Lang_BALOCHI,Lang_BALTI,Lang_BRAHVI,Lang_HINDKO,Lang_KALASHA,Lang_KASHMIRI,Lang_KOHIOSTANI,Lang_MEWATI,Lang_OTHERS,Lang_PUNJABI,Lang_PUSHTO,Lang_SARAIKI,Lang_SHINA,Lang_SINDHI,Lang_TOTAL,Lang_URDU,Ever Attended,Literate >=10,Out of School Children (5-16),Population >=10,Population >=5,Age_TotalPop,Age_Male,Age_Female,Age_Trans,Age_Rural,Age_Urban,Marital_DIVORCED,Marital_MARRIED,Marital_NEVER MARRIED,Marital_SEPERATION,Marital_WIDOWED,Energy_Access_Electricity,San_Access_SanitaryToilet,Wtr_Access_ImprovedDrink,Age_65_Plus,Age_15_29,LIAS_01,Inverse_Disability_01,FCI,CI
11,Punjab,Faisalabad,Toba Tek Singh,391861,2511963,6.41,2191495,2.31,TOBA TEK SINGH,380659,3581,9656,148949,9287,225954,9706,251337,109898,393896,315411,353149,11178,29569,310235,36464,393896,379724,264396,129500,132324,205122,1652,32301,3870,18627,393896,33434,101291,307480,62160,45849,2524044,56199,35103,98032,475,9,7,2445,1,110,0,9283,525,2428237,10675,3836,2,5756,2524044,62683,1581424,1358123,142390,1902553,2200639,2524044,1295646,1228162,236,1960519,563525,8575,1044941,484848,2403,76386,0.9663946828604505,0.896553912707923,0.9640209598472693,NA,NA,0.024834353125381334,0,0.057676814861452375,0.012417176562690667
12,Punjab,Gujranwala,Gujranwala,849524,5959750,7.02,5011066,2.94,GUJRANWALA,836739,7562,4876,630436,54382,111372,52987,652421,105540,849177,726387,821732,14446,12999,721187,19336,849177,841395,658143,191034,96320,656222,2284,86031,261,8059,849177,72789,176017,731556,156409,105868,5940173,131543,85555,217305,2089,97,17,1730,16,14716,196,1468,1211,5483918,46040,5323,103,14367,5940173,368882,3827867,3336551,321967,4345898,5016623,5940173,3018895,2920741,537,2365418,3574755,12443,2308399,1194627,4190,140183,0.9853528769620468,0.9676804717979879,0.9908358328122405,NA,NA,0.06209953817843352,0,0.018710272809241646,0.03104976908921676
13,Punjab,Gujranwala,Gujrat,489589,3219375,6.58,2756289,2.63,GUJRAT,482109,3983,3245,246658,97699,135002,9978,417827,35943,489337,431408,468668,6631,14038,427152,19575,489337,484430,329488,159849,63421,378254,1630,40263,485,5284,489337,46676,118220,441618,91727,64665,3216000,84237,48964,138353,971,187,25,1857,14,2329,1243,66,2366,3005893,69402,9445,369,9877,3216000,111956,2322721,2032866,118204,2498174,2837143,3216000,1606601,1609209,190,1892820,1323180,14412,1370053,651117,3223,109104,0.9852289935157161,0.9577612156857135,0.9899721459852822,NA,NA,0.03481218905472637,0,0.022345881604429407,0.017406094527363185
14,Punjab,Gujranwala,Hafizabad,197277,1319909,6.69,1156954,2.23,HAFIZABAD,193493,1568,2145,145717,1870,43220,6399,131554,49145,197206,157913,176929,3324,16953,155001,20323,197206,186823,142983,54223,52401,118667,383,11376,191,14188,197206,16324,40672,155147,32212,22860,1319651,29089,17281,48312,74,3,0,136,0,3113,85,200,382,1263482,7956,423,8,2128,1319651,41661,754398,650199,78767,988643,1141590,1319651,669900,649691,60,815517,504134,4473,537960,254988,1727,36030,0.9811719724551992,0.8971785848300762,0.9473494721255945,NA,NA,0.03156971047648204,0,0.05809999019637668,0.01578485523824102
15,Punjab,Gujranwala,Mandi Bahauddin,286168,1829486,6.39,1594039,2.33,MANDI BAHAUDDIN,280407,2089,3493,100920,25918,154573,4578,217408,45330,285989,224264,248405,6741,30843,225606,30060,285989,280729,165495,120494,76897,159440,568,43416,251,5417,285989,28782,73069,282049,59862,41495,1829152,51197,32824,84986,734,27,1,129,0,153,827,17,599,1704687,32304,2800,40,3248,1829152,83586,1116321,963813,110399,1371605,1579976,1829152,916966,912047,139,1483259,345893,5487,747615,353529,2062,58185,0.9804817667812399,0.8685823580627227,0.9816076842116305,NA,NA,0.045696585084235755,0,0.05644273031480229,0.022848292542117878
16,Punjab,Gujranwala,Narowal,281628,1950954,6.93,1707575,2.25,NAROWAL,278132,2095,1309,39184,19348,140540,82464,213993,44855,281536,238888,265022,4014,12500,232544,20041,281536,278211,240332,41204,31478,232453,797,13464,33,3311,281536,21755,59839,191981,39067,29138,1950769,36206,21119,62673,54,22,1,95,14,58,1,44491,530,1839288,2204,1032,12,3489,1950769,59478,1285365,1096110,79034,1455970,1686029,1950769,996357,954327,85,1601749,349020,4787,774878,393023,938,50765,0.987909183905433,0.941343203000682,0.9881897874516936,NA,NA,0.030489514647813246,0,0.027519275214063832,0.015244757323906623
17,Punjab,Gujranwala,Sialkot,671589,4499394,6.7,3894938,2.44,SIALKOT,661303,5458,4559,382226,73327,118266,97501,541028,66313,671320,579321,644597,10291,16432,571393,25060,671320,664795,411849,259471,87329,397596,1860,177626,419,6490,671320,42086,128725,360549,71364,54587,4472462,66039,41041,120765,632,158,7,1530,40,794,353,56787,4533,4115055,54699,10159,213,10151,4472462,217351,3083599,2630257,153560,3356203,3865938,4472462,2265012,2206591,859,3017087,1455375,12099,1780354,915242,2987,129682,0.985078651015909,0.9601933504141095,0.990280343204433,NA,NA,0.04859761804572068,0,0.021482551788516213,0.02429880902286034
18,Punjab,Lahore,Kasur,645838,4084286,6.32,3454881,2.84,KASUR,632923,5001,7384,171732,25556,387429,60591,322158,230003,645308,449156,603103,9150,33055,427038,63077,645308,631491,485439,159869,156320,432973,2997,33782,2375,16861,645308,41556,108621,377807,78782,56980,4081568,73185,40784,123837,584,76,15,296,131,242,53,470749,13097,3440450,7855,3854,66,7041,4081568,137059,2194254,1844344,274362,2934580,3447800,4081568,2085912,1995257,399,2840199,1241369,10280,1596156,754267,4318,91504,0.9808076143484972,0.9345971226143175,0.978588518970786,NA,NA,0.033579986906992605,0,0.03533558135546644,0.016789993453496303
19,Punjab,Lahore,Lahore,2012526,13004135,6.46,11119985,2.65,LAHORE,1972051,21580,16594,1700707,150393,124237,34888,1605996,139307,2010225,1678820,1921046,52476,36703,1636565,83721,2010225,1970577,1284670,725555,819641,602125,6897,488946,51476,41140,2010225,145842,403707,1432780,299526,208902,12978661,255140,171939,435865,4266,2675,176,33061,179,12165,543,260544,15682,9549169,267809,62016,1282,27074,12978661,2742020,8628495,7760203,718199,9746671,11151025,12978661,6869574,6105711,3376,0,12978661,32171,5278345,2709923,11877,295912,0.981010085935654,0.955637304281859,0.9802768346826848,NA,NA,0.21127140927712035,0,0.02769192503326745,0.10563570463856017
20,Punjab,Lahore,Nankana Sahib,247121,1634871,6.62,1354986,3.19,NANKANA SAHIB,242186,2053,2717,96876,7387,116433,26260,140272,81869,246956,186801,222957,4025,19974,182014,26256,246956,228307,80874,166082,39551,131395,641,47064,1148,27157,246956,16098,37175,136656,30191,21508,1634871,25783,15273,42511,137,6,0,218,0,52,1,3827,523,1589827,4890,953,18,3706,1634871,30713,911753,761403,108439,1206271,1409245,1634871,831931,802859,81,1311483,323388,4885,655150,308598,1675,42540,0.9806848183482078,0.9028207453959409,0.9244845235588526,NA,NA,0.018786191693411895,0,0.06400330423233291,0.009393095846705947
21,Punjab,Lahore,Sheikhupura,593506,4049418,6.82,3460004,2.66,SHEIKHUPURA,583434,5169,4657,321416,50960,171768,49116,423056,105662,593260,493564,569941,9699,13620,484694,24649,593260,577250,422150,171110,95274,390024,2900,81527,555,22980,593260,36573,107514,329440,67261,49745,4049377,59946,37787,106419,457,79,517,2001,16,1525,34,10566,2443,3782194,38427,4775,45,8223,4049377,198075,2363139,2040443,262076,2962186,3445605,4049377,2079359,1969412,606,2498625,1550752,8226,1606381,785326,3134,87956,0.9834372787647911,0.9606934564946229,0.9730135185247615,NA,NA,0.048914931852480026,0,0.027618582071941455,0.024457465926240013
22,Punjab,Multan,Khanewal,526609,3364077,6.39,2920233,2.39,KHANEWAL,505318,4355,16523,127058,11552,376727,10859,263552,213637,526196,383934,461957,12133,52106,366055,75059,526196,518533,480674,45522,66842,426972,1282,22239,458,8403,526196,46202,119105,431015,92614,64825,3363589,78248,48762,132916,819,31,10,2289,2,385,2,2567,24421,2368354,36657,652794,0,4574,3363589,270684,1778384,1497449,270019,2456148,2888710,3363589,1734421,1628782,386,2646990,716599,11470,1344577,596201,4761,100670,0.9603227694623296,0.8779181141627834,0.9854369854578903,NA,NA,0.08047475479316885,0,0.05877404363899885,0.04023737739658442
