"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","TOILET_SEPARATE","TOILET_FLUSH","TOILET_NON_FLUSH","TOILET_NONE","WASHROOM_SEPARATE","WASHROOM_NONE"
"BALOCHISTAN","KALAT","KHUZDAR","NAL","SUB-DIVISION","URBAN",6167,4700,5577,546,44,4764,37
"BALOCHISTAN","KALAT","KHUZDAR","ORNACH","SUB-DIVISION","OVERALL",13078,6085,4021,2143,6914,8965,3972
"BALOCHISTAN","KALAT","KHUZDAR","ORNACH","SUB-DIVISION","RURAL",13078,6085,4021,2143,6914,8965,3972
"BALOCHISTAN","KALAT","KHUZDAR","ORNACH","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","SAROONA","SUB-TEHSIL","OVERALL",6480,1715,543,1270,4667,3958,2388
"BALOCHISTAN","KALAT","KHUZDAR","SAROONA","SUB-TEHSIL","RURAL",6480,1715,543,1270,4667,3958,2388
"BALOCHISTAN","KALAT","KHUZDAR","SAROONA","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","WADH","SUB-DIVISION","OVERALL",21772,12347,11024,3228,7520,18341,1623
"BALOCHISTAN","KALAT","KHUZDAR","WADH","SUB-DIVISION","RURAL",16775,8616,6800,2712,7263,14334,1443
"BALOCHISTAN","KALAT","KHUZDAR","WADH","SUB-DIVISION","URBAN",4997,3731,4224,516,257,4007,180
"BALOCHISTAN","KALAT","KHUZDAR","ZEHRI","SUB-DIVISION","OVERALL",19645,9426,7407,9925,2313,11014,923
"BALOCHISTAN","KALAT","KHUZDAR","ZEHRI","SUB-DIVISION","RURAL",11984,4986,4965,4843,2176,6594,839
"BALOCHISTAN","KALAT","KHUZDAR","ZEHRI","SUB-DIVISION","URBAN",7661,4440,2442,5082,137,4420,84
"BALOCHISTAN","QUETTA","KILLA ABDULLAH","DOBANDI","SUB-TEHSIL","OVERALL",12995,4532,2420,5977,4598,7769,1488
"BALOCHISTAN","QUETTA","KILLA ABDULLAH","DOBANDI","SUB-TEHSIL","RURAL",12995,4532,2420,5977,4598,7769,1488
"BALOCHISTAN","QUETTA","KILLA ABDULLAH","DOBANDI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","KILLA ABDULLAH","GULISTAN","SUB-DIVISION","OVERALL",23751,13956,14940,7619,1192,17366,643
"BALOCHISTAN","QUETTA","KILLA ABDULLAH","GULISTAN","SUB-DIVISION","RURAL",23751,13956,14940,7619,1192,17366,643
"BALOCHISTAN","QUETTA","KILLA ABDULLAH","GULISTAN","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","KILLA ABDULLAH","KILLA ABDULLAH","SUB-DIVISION","OVERALL",30543,17681,16781,12070,1692,19317,738
"BALOCHISTAN","QUETTA","KILLA ABDULLAH","KILLA ABDULLAH","SUB-DIVISION","RURAL",24167,14285,14922,8238,1007,15638,629
"BALOCHISTAN","QUETTA","KILLA ABDULLAH","KILLA ABDULLAH","SUB-DIVISION","URBAN",6376,3396,1859,3832,685,3679,109
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","OVERALL",2769,137,52,172,2545,1560,478
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","RURAL",2769,137,52,172,2545,1560,478
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","KAN MEHTARZAI","SUB-TEHSIL","OVERALL",7348,3308,3727,1674,1947,4740,504
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","KAN MEHTARZAI","SUB-TEHSIL","RURAL",7348,3308,3727,1674,1947,4740,504
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","KAN MEHTARZAI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","KILLA SAIFULLAH","SUB-DIVISION","OVERALL",29319,7540,9676,4566,15077,20183,1686
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","KILLA SAIFULLAH","SUB-DIVISION","RURAL",22108,3971,4466,3438,14204,15902,1392
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","KILLA SAIFULLAH","SUB-DIVISION","URBAN",7211,3569,5210,1128,873,4281,294
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","LOIBAND","TEHSIL","OVERALL",5105,546,253,630,4222,3473,409
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","LOIBAND","TEHSIL","RURAL",5105,546,253,630,4222,3473,409
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","LOIBAND","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","MUSLIM BAGH","TEHSIL","OVERALL",14084,6984,8615,2452,3017,10705,395
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","MUSLIM BAGH","TEHSIL","RURAL",9385,4272,4298,2157,2930,6875,340
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","MUSLIM BAGH","TEHSIL","URBAN",4699,2712,4317,295,87,3830,55
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","SHINKI","SUB-TEHSIL","OVERALL",11373,1350,755,1300,9318,6108,2112
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","SHINKI","SUB-TEHSIL","RURAL",11373,1350,755,1300,9318,6108,2112
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","SHINKI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","KOHLU","GRISANI","SUB-TEHSIL","OVERALL",2401,305,674,588,1139,387,914
"BALOCHISTAN","SIBI","KOHLU","GRISANI","SUB-TEHSIL","RURAL",2401,305,674,588,1139,387,914
"BALOCHISTAN","SIBI","KOHLU","GRISANI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","KOHLU","KAHAN","SUB-DIVISION","OVERALL",11817,1173,259,1434,10124,2418,7676
"BALOCHISTAN","SIBI","KOHLU","KAHAN","SUB-DIVISION","RURAL",11817,1173,259,1434,10124,2418,7676
"BALOCHISTAN","SIBI","KOHLU","KAHAN","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","KOHLU","KOHLU","SUB-DIVISION","OVERALL",8513,3595,5104,714,2695,4719,1530
"BALOCHISTAN","SIBI","KOHLU","KOHLU","SUB-DIVISION","RURAL",5354,1915,2257,526,2571,2933,1240
"BALOCHISTAN","SIBI","KOHLU","KOHLU","SUB-DIVISION","URBAN",3159,1680,2847,188,124,1786,290
"BALOCHISTAN","SIBI","KOHLU","MAWAND","SUB-DIVISION","OVERALL",7719,1257,1456,528,5735,2042,4688
"BALOCHISTAN","SIBI","KOHLU","MAWAND","SUB-DIVISION","RURAL",7719,1257,1456,528,5735,2042,4688
"BALOCHISTAN","SIBI","KOHLU","MAWAND","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","KOHLU","TAMBOO","SUB-TEHSIL","OVERALL",7645,1077,1092,573,5980,2804,3518
"BALOCHISTAN","SIBI","KOHLU","TAMBOO","SUB-TEHSIL","RURAL",7645,1077,1092,573,5980,2804,3518
"BALOCHISTAN","SIBI","KOHLU","TAMBOO","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","OVERALL",19806,12547,13979,2526,3301,12434,3424
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","RURAL",15827,9526,10142,2450,3235,9545,3203
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","URBAN",3979,3021,3837,76,66,2889,221
"BALOCHISTAN","KALAT","LASBELA","DUREJI","SUB-DIVISION","OVERALL",10008,3517,3193,486,6329,6063,3711
"BALOCHISTAN","KALAT","LASBELA","DUREJI","SUB-DIVISION","RURAL",6945,2887,2617,406,3922,4718,2030
"BALOCHISTAN","KALAT","LASBELA","DUREJI","SUB-DIVISION","URBAN",3063,630,576,80,2407,1345,1681
"BALOCHISTAN","KALAT","LASBELA","GADDANI","TEHSIL","OVERALL",6578,2723,3188,453,2937,5302,339
"BALOCHISTAN","KALAT","LASBELA","GADDANI","TEHSIL","RURAL",2676,1572,1515,316,845,2296,114
"BALOCHISTAN","KALAT","LASBELA","GADDANI","TEHSIL","URBAN",3902,1151,1673,137,2092,3006,225
"BALOCHISTAN","KALAT","LASBELA","HUB","SUB-DIVISION","OVERALL",37994,30456,35329,1187,1478,30005,2050
"BALOCHISTAN","KALAT","LASBELA","HUB","SUB-DIVISION","RURAL",7855,6333,6467,255,1133,6857,663
"BALOCHISTAN","KALAT","LASBELA","HUB","SUB-DIVISION","URBAN",30139,24123,28862,932,345,23148,1387
"BALOCHISTAN","KALAT","LASBELA","KANRAJ","SUB-DIVISION","OVERALL",2722,386,452,12,2258,2173,391
"BALOCHISTAN","KALAT","LASBELA","KANRAJ","SUB-DIVISION","RURAL",2722,386,452,12,2258,2173,391
"BALOCHISTAN","KALAT","LASBELA","KANRAJ","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","LASBELA","LAKHRA","TEHSIL","OVERALL",7378,4181,5651,1210,517,4113,661
"BALOCHISTAN","KALAT","LASBELA","LAKHRA","TEHSIL","RURAL",7378,4181,5651,1210,517,4113,661
"BALOCHISTAN","KALAT","LASBELA","LAKHRA","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","LASBELA","LIARI","SUB-TEHSIL","OVERALL",2589,1263,807,538,1244,1944,503
"BALOCHISTAN","KALAT","LASBELA","LIARI","SUB-TEHSIL","RURAL",2589,1263,807,538,1244,1944,503
"BALOCHISTAN","KALAT","LASBELA","LIARI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","LASBELA","SONMIANI/WINDER","TEHSIL","OVERALL",14186,7644,9718,1122,3346,9650,1251
"BALOCHISTAN","KALAT","LASBELA","SONMIANI/WINDER","TEHSIL","RURAL",6861,3485,3823,912,2126,4726,903
"BALOCHISTAN","KALAT","LASBELA","SONMIANI/WINDER","TEHSIL","URBAN",7325,4159,5895,210,1220,4924,348
"BALOCHISTAN","KALAT","LASBELA","UTHAL","SUB-DIVISION","OVERALL",14278,8786,8288,3124,2866,10028,1454
"BALOCHISTAN","KALAT","LASBELA","UTHAL","SUB-DIVISION","RURAL",8456,4679,4195,1506,2755,6040,1226
"BALOCHISTAN","KALAT","LASBELA","UTHAL","SUB-DIVISION","URBAN",5822,4107,4093,1618,111,3988,228
"BALOCHISTAN","LORALAI","LORALAI","BORI","SUB-DIVISION","OVERALL",31142,15432,17991,6147,7004,19638,3093
"BALOCHISTAN","LORALAI","LORALAI","BORI","SUB-DIVISION","RURAL",23535,9973,11045,5643,6847,14179,2850
"BALOCHISTAN","LORALAI","LORALAI","BORI","SUB-DIVISION","URBAN",7607,5459,6946,504,157,5459,243
"BALOCHISTAN","LORALAI","LORALAI","MEKHTAR","SUB-DIVISION","OVERALL",7072,1651,2015,723,4334,4458,1084
"BALOCHISTAN","LORALAI","LORALAI","MEKHTAR","SUB-DIVISION","RURAL",7072,1651,2015,723,4334,4458,1084
"BALOCHISTAN","LORALAI","LORALAI","MEKHTAR","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","MASTUNG","DASHT","SUB-DIVISION","OVERALL",10230,6523,7480,1843,907,6953,460
"BALOCHISTAN","KALAT","MASTUNG","DASHT","SUB-DIVISION","RURAL",10230,6523,7480,1843,907,6953,460
"BALOCHISTAN","KALAT","MASTUNG","DASHT","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","MASTUNG","KHAD KOCHA","SUB-TEHSIL","OVERALL",5954,3422,3878,1475,601,4033,233
"BALOCHISTAN","KALAT","MASTUNG","KHAD KOCHA","SUB-TEHSIL","RURAL",5954,3422,3878,1475,601,4033,233
"BALOCHISTAN","KALAT","MASTUNG","KHAD KOCHA","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","MASTUNG","KIRDGAP","SUB-DIVISION","OVERALL",5024,3234,2231,2133,660,3574,343
"BALOCHISTAN","KALAT","MASTUNG","KIRDGAP","SUB-DIVISION","RURAL",5024,3234,2231,2133,660,3574,343
"BALOCHISTAN","KALAT","MASTUNG","KIRDGAP","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","MASTUNG","MASTUNG","SUB-DIVISION","OVERALL",22487,14399,15924,5470,1093,16635,823
"BALOCHISTAN","KALAT","MASTUNG","MASTUNG","SUB-DIVISION","RURAL",17054,10096,10608,5372,1074,12194,808
"BALOCHISTAN","KALAT","MASTUNG","MASTUNG","SUB-DIVISION","URBAN",5433,4303,5316,98,19,4441,15
"BALOCHISTAN","LORALAI","MUSAKHEL","DRUG","TEHSIL","OVERALL",4799,1355,2434,207,2158,1303,2231
"BALOCHISTAN","LORALAI","MUSAKHEL","DRUG","TEHSIL","RURAL",4799,1355,2434,207,2158,1303,2231
"BALOCHISTAN","LORALAI","MUSAKHEL","DRUG","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","MUSAKHEL","KINGRI","TEHSIL","OVERALL",6480,1408,1494,316,4670,3833,1943
"BALOCHISTAN","LORALAI","MUSAKHEL","KINGRI","TEHSIL","RURAL",6480,1408,1494,316,4670,3833,1943
"BALOCHISTAN","LORALAI","MUSAKHEL","KINGRI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","MUSAKHEL","MUSAKHEL","TEHSIL","OVERALL",7601,3111,2836,2707,2058,3865,1165
"BALOCHISTAN","LORALAI","MUSAKHEL","MUSAKHEL","TEHSIL","RURAL",5241,1821,601,2635,2005,2405,1132
"BALOCHISTAN","LORALAI","MUSAKHEL","MUSAKHEL","TEHSIL","URBAN",2360,1290,2235,72,53,1460,33
"BALOCHISTAN","LORALAI","MUSAKHEL","TIYAR ESSOT","SUB-TEHSIL","OVERALL",1730,936,990,164,576,990,517
"BALOCHISTAN","LORALAI","MUSAKHEL","TIYAR ESSOT","SUB-TEHSIL","RURAL",1730,936,990,164,576,990,517
"BALOCHISTAN","LORALAI","MUSAKHEL","TIYAR ESSOT","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","MUSAKHEL","TOISAR","TEHSIL","OVERALL",8443,1189,506,2251,5686,2272,3870
"BALOCHISTAN","LORALAI","MUSAKHEL","TOISAR","TEHSIL","RURAL",8443,1189,506,2251,5686,2272,3870
"BALOCHISTAN","LORALAI","MUSAKHEL","TOISAR","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","MUSAKHEL","ZIMRI PLASEEN","SUB-TEHSIL","OVERALL",2199,600,92,574,1533,1018,807
"BALOCHISTAN","LORALAI","MUSAKHEL","ZIMRI PLASEEN","SUB-TEHSIL","RURAL",2199,600,92,574,1533,1018,807
"BALOCHISTAN","LORALAI","MUSAKHEL","ZIMRI PLASEEN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","OVERALL",8675,3215,1344,2428,4903,3316,4790
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","RURAL",8675,3215,1344,2428,4903,3316,4790
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","CHATTAR","SUB-DIVISION","OVERALL",5932,3262,1232,2754,1946,3824,1396
"BALOCHISTAN","NASIRABAD","NASIRABAD","CHATTAR","SUB-DIVISION","RURAL",5932,3262,1232,2754,1946,3824,1396
"BALOCHISTAN","NASIRABAD","NASIRABAD","CHATTAR","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","DERA MURAD JAMALI","SUB-DIVISION","OVERALL",39493,14758,17381,12494,9618,13644,11029
"BALOCHISTAN","NASIRABAD","NASIRABAD","DERA MURAD JAMALI","SUB-DIVISION","RURAL",25220,7595,6854,9235,9131,6857,9962
"BALOCHISTAN","NASIRABAD","NASIRABAD","DERA MURAD JAMALI","SUB-DIVISION","URBAN",14273,7163,10527,3259,487,6787,1067
"BALOCHISTAN","NASIRABAD","NASIRABAD","LANDHI","TEHSIL","OVERALL",1516,222,7,386,1123,270,1049
"BALOCHISTAN","NASIRABAD","NASIRABAD","LANDHI","TEHSIL","RURAL",1516,222,7,386,1123,270,1049
"BALOCHISTAN","NASIRABAD","NASIRABAD","LANDHI","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","MIR HASSAN KHOSA","TEHSIL","OVERALL",8266,1479,1366,934,5966,1422,6046
"BALOCHISTAN","NASIRABAD","NASIRABAD","MIR HASSAN KHOSA","TEHSIL","RURAL",8266,1479,1366,934,5966,1422,6046
"BALOCHISTAN","NASIRABAD","NASIRABAD","MIR HASSAN KHOSA","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","TAMBOO","TEHSIL","OVERALL",23634,9305,5458,6502,11674,8671,12494
"BALOCHISTAN","NASIRABAD","NASIRABAD","TAMBOO","TEHSIL","RURAL",23634,9305,5458,6502,11674,8671,12494
"BALOCHISTAN","NASIRABAD","NASIRABAD","TAMBOO","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","NUSHKI","DAK","SUB-TEHSIL","OVERALL",2787,1766,1289,632,866,2397,123
"BALOCHISTAN","RAKHSHAN","NUSHKI","DAK","SUB-TEHSIL","RURAL",2787,1766,1289,632,866,2397,123
"BALOCHISTAN","RAKHSHAN","NUSHKI","DAK","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","NUSHKI","NUSHKI","SUB-DIVISION","OVERALL",28468,19836,20425,5991,2052,20575,1081
"BALOCHISTAN","RAKHSHAN","NUSHKI","NUSHKI","SUB-DIVISION","RURAL",21208,14263,15183,4036,1989,14991,1011
"BALOCHISTAN","RAKHSHAN","NUSHKI","NUSHKI","SUB-DIVISION","URBAN",7260,5573,5242,1955,63,5584,70
"BALOCHISTAN","MEKRAN","PANJGUR","GICHK","SUB-TEHSIL","OVERALL",15625,2668,434,6618,8573,5899,1783
"BALOCHISTAN","MEKRAN","PANJGUR","GICHK","SUB-TEHSIL","RURAL",15625,2668,434,6618,8573,5899,1783
"BALOCHISTAN","MEKRAN","PANJGUR","GICHK","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","PANJGUR","GOWARGO","SUB-DIVISION","OVERALL",9059,5307,1231,5003,2825,6159,979
"BALOCHISTAN","MEKRAN","PANJGUR","GOWARGO","SUB-DIVISION","RURAL",9059,5307,1231,5003,2825,6159,979
"BALOCHISTAN","MEKRAN","PANJGUR","GOWARGO","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","PANJGUR","JAHEEN PAROME","TEHSIL","OVERALL",6504,2288,433,4018,2053,2637,1173
"BALOCHISTAN","MEKRAN","PANJGUR","JAHEEN PAROME","TEHSIL","RURAL",6504,2288,433,4018,2053,2637,1173
"BALOCHISTAN","MEKRAN","PANJGUR","JAHEEN PAROME","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
NA,NA,"PANJGUR","KALLAG","SUB-TEHSIL","OVERALL",7281,2398,1808,3917,1556,3060,311
NA,NA,"PANJGUR","KALLAG","SUB-TEHSIL","RURAL",7281,2398,1808,3917,1556,3060,311
NA,NA,"PANJGUR","KALLAG","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","PANJGUR","PANJGUR","SUB-DIVISION","OVERALL",78620,35680,22410,47863,8347,38837,3772
"BALOCHISTAN","MEKRAN","PANJGUR","PANJGUR","SUB-DIVISION","RURAL",49447,26217,16214,29174,4059,28315,2297
"BALOCHISTAN","MEKRAN","PANJGUR","PANJGUR","SUB-DIVISION","URBAN",29173,9463,6196,18689,4288,10522,1475
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","OVERALL",20036,6595,7097,6689,6250,13569,825
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","RURAL",20036,6595,7097,6689,6250,13569,825
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BOSTAN","TEHSIL","OVERALL",9256,5190,7329,1664,263,6115,106
"BALOCHISTAN","QUETTA","PISHIN","BOSTAN","TEHSIL","RURAL",9256,5190,7329,1664,263,6115,106
"BALOCHISTAN","QUETTA","PISHIN","BOSTAN","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","HURRAM ZAI","SUB-DIVISION","OVERALL",25031,17021,22035,2616,380,19390,127
"BALOCHISTAN","QUETTA","PISHIN","HURRAM ZAI","SUB-DIVISION","RURAL",19417,12769,17430,1632,355,15050,113
"BALOCHISTAN","QUETTA","PISHIN","HURRAM ZAI","SUB-DIVISION","URBAN",5614,4252,4605,984,25,4340,14
"BALOCHISTAN","QUETTA","PISHIN","KAREZAT","SUB-DIVISION","OVERALL",9129,5893,3617,4603,909,6873,295
"BALOCHISTAN","QUETTA","PISHIN","KAREZAT","SUB-DIVISION","RURAL",2205,1264,442,1215,548,1553,195
"BALOCHISTAN","QUETTA","PISHIN","KAREZAT","SUB-DIVISION","URBAN",6924,4629,3175,3388,361,5320,100
"BALOCHISTAN","QUETTA","PISHIN","NANA SAHIB","TEHSIL","OVERALL",7639,3462,3053,2652,1934,5538,146
"BALOCHISTAN","QUETTA","PISHIN","NANA SAHIB","TEHSIL","RURAL",7639,3462,3053,2652,1934,5538,146
"BALOCHISTAN","QUETTA","PISHIN","NANA SAHIB","TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","PISHIN","SUB-DIVISION","OVERALL",64523,41678,45654,16073,2796,47476,1387
"BALOCHISTAN","QUETTA","PISHIN","PISHIN","SUB-DIVISION","RURAL",43312,28144,28647,12813,1852,31056,863
"BALOCHISTAN","QUETTA","PISHIN","PISHIN","SUB-DIVISION","URBAN",21211,13534,17007,3260,944,16420,524
"BALOCHISTAN","QUETTA","PISHIN","SARANAN","TEHSIL","OVERALL",11571,7461,7335,4087,149,8522,70
"BALOCHISTAN","QUETTA","PISHIN","SARANAN","TEHSIL","RURAL",3382,2073,1266,2048,68,2946,15
"BALOCHISTAN","QUETTA","PISHIN","SARANAN","TEHSIL","URBAN",8189,5388,6069,2039,81,5576,55
"BALOCHISTAN","QUETTA","QUETTA","QUETTA","SUB-DIVISION_CITY","OVERALL",144129,120591,132134,10596,1399,122290,1083
"BALOCHISTAN","QUETTA","QUETTA","QUETTA","SUB-DIVISION_CITY","RURAL",16382,14069,16100,256,26,14130,39
"BALOCHISTAN","QUETTA","QUETTA","QUETTA","SUB-DIVISION_CITY","URBAN",127747,106522,116034,10340,1373,108160,1044
"BALOCHISTAN","QUETTA","QUETTA","KUCHLAK","SUB-DIVISION","OVERALL",37214,28091,30693,6007,514,30303,461
"BALOCHISTAN","QUETTA","QUETTA","KUCHLAK","SUB-DIVISION","RURAL",30680,22652,24945,5236,499,24651,439
"BALOCHISTAN","QUETTA","QUETTA","KUCHLAK","SUB-DIVISION","URBAN",6534,5439,5748,771,15,5652,22
NA,NA,"QUETTA","SADDAR TEHSIL","SUB-DIVISION","OVERALL",34558,28391,29626,3762,1170,29998,1280
NA,NA,"QUETTA","SADDAR TEHSIL","SUB-DIVISION","RURAL",14930,11039,11193,2708,1029,12520,1118
NA,NA,"QUETTA","SADDAR TEHSIL","SUB-DIVISION","URBAN",19628,17352,18433,1054,141,17478,162
"BALOCHISTAN","QUETTA","QUETTA","SARIAB","SUB-DIVISION","OVERALL",69160,53235,54642,13979,539,53917,896
"BALOCHISTAN","QUETTA","QUETTA","SARIAB","SUB-DIVISION","RURAL",61948,47101,48450,12966,532,47668,749
"BALOCHISTAN","QUETTA","QUETTA","SARIAB","SUB-DIVISION","URBAN",7212,6134,6192,1013,7,6249,147
"BALOCHISTAN","QUETTA","QUETTA","PANJPAI","SUB-TEHSIL","OVERALL",3398,1508,1792,1408,198,2052,91
"BALOCHISTAN","QUETTA","QUETTA","PANJPAI","SUB-TEHSIL","RURAL",3398,1508,1792,1408,198,2052,91
"BALOCHISTAN","QUETTA","QUETTA","PANJPAI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","OVERALL",36100,14538,16154,10009,9937,21911,3040
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","RURAL",36100,14538,16154,10009,9937,21911,3040
"BALOCHISTAN","ZHOB","SHERANI","SHERANI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","OVERALL",1275,402,299,390,586,479,560
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","RURAL",1275,402,299,390,586,479,560
"BALOCHISTAN","SIBI","SIBI","KOT MANDAI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","OVERALL",7598,4356,4059,2393,1146,4162,1488
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","RURAL",7598,4356,4059,2393,1146,4162,1488
"BALOCHISTAN","SIBI","SIBI","LEHRI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","OVERALL",382,290,115,260,7,295,6
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","RURAL",382,290,115,260,7,295,6
"BALOCHISTAN","SIBI","SIBI","SANGAN","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","OVERALL",22041,13104,16297,3887,1857,12923,2210
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","RURAL",10516,6147,6607,2555,1354,6209,1314
"BALOCHISTAN","SIBI","SIBI","SIBI","SUB-DIVISION","URBAN",11525,6957,9690,1332,503,6714,896
"BALOCHISTAN","NASIRABAD","SOHBATPUR","FARIDABAD","TEHSIL","OVERALL",9246,2325,2407,918,5921,2117,6287
