"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","REGION","HOUSEHOLDS","TOILET_SEPARATE","TOILET_FLUSH","TOILET_NON_FLUSH","TOILET_NONE","WASHROOM_SEPARATE","WASHROOM_NONE"
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","OVERALL",9607,3504,4558,1075,3974,3510,4082
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","RURAL",4178,680,328,679,3171,1239,2582
"BALOCHISTAN","SIBI","DERA BUGTI","DERA BUGTI","SUB-DIVISION","URBAN",5429,2824,4230,396,803,2271,1500
"BALOCHISTAN","SIBI","DERA BUGTI","LOTI","SUB-TEHSIL","OVERALL",4565,359,94,370,4101,403,4042
"BALOCHISTAN","SIBI","DERA BUGTI","LOTI","SUB-TEHSIL","RURAL",4565,359,94,370,4101,403,4042
"BALOCHISTAN","SIBI","DERA BUGTI","LOTI","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","MALAM","SUB-TEHSIL","OVERALL",4435,1027,679,404,3352,1578,2452
"BALOCHISTAN","SIBI","DERA BUGTI","MALAM","SUB-TEHSIL","RURAL",4435,1027,679,404,3352,1578,2452
"BALOCHISTAN","SIBI","DERA BUGTI","MALAM","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","PIR KOH","SUB-TEHSIL","OVERALL",8519,811,1127,375,7017,1728,5630
"BALOCHISTAN","SIBI","DERA BUGTI","PIR KOH","SUB-TEHSIL","RURAL",8519,811,1127,375,7017,1728,5630
"BALOCHISTAN","SIBI","DERA BUGTI","PIR KOH","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","QADIRABAD","SUB-DIVISION","OVERALL",3848,424,378,146,3324,1327,2244
"BALOCHISTAN","SIBI","DERA BUGTI","QADIRABAD","SUB-DIVISION","RURAL",3848,424,378,146,3324,1327,2244
"BALOCHISTAN","SIBI","DERA BUGTI","QADIRABAD","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","SANGSILLAH","SUB-TEHSIL","OVERALL",2494,315,467,820,1207,329,1065
"BALOCHISTAN","SIBI","DERA BUGTI","SANGSILLAH","SUB-TEHSIL","RURAL",2494,315,467,820,1207,329,1065
"BALOCHISTAN","SIBI","DERA BUGTI","SANGSILLAH","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","SUI","SUB-DIVISION","OVERALL",23968,7042,14345,962,8661,6990,9027
"BALOCHISTAN","SIBI","DERA BUGTI","SUI","SUB-DIVISION","RURAL",9569,730,848,596,8125,766,7838
"BALOCHISTAN","SIBI","DERA BUGTI","SUI","SUB-DIVISION","URBAN",14399,6312,13497,366,536,6224,1189
"BALOCHISTAN","LORALAI","DUKI","DUKI","SUB-DIVISION","OVERALL",26606,13444,12644,8682,5280,16807,1819
"BALOCHISTAN","LORALAI","DUKI","DUKI","SUB-DIVISION","RURAL",23613,11730,10888,7456,5269,14847,1790
"BALOCHISTAN","LORALAI","DUKI","DUKI","SUB-DIVISION","URBAN",2993,1714,1756,1226,11,1960,29
"BALOCHISTAN","LORALAI","DUKI","LUNI","SUB-DIVISION","OVERALL",2907,1126,851,841,1215,1783,322
"BALOCHISTAN","LORALAI","DUKI","LUNI","SUB-DIVISION","RURAL",2907,1126,851,841,1215,1783,322
"BALOCHISTAN","LORALAI","DUKI","LUNI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","DUKI","TALAO","SUB-TEHSIL","OVERALL",5256,1807,1411,863,2982,3466,717
"BALOCHISTAN","LORALAI","DUKI","TALAO","SUB-TEHSIL","RURAL",5256,1807,1411,863,2982,3466,717
"BALOCHISTAN","LORALAI","DUKI","TALAO","SUB-TEHSIL","URBAN",NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","DUKI","THAL CHUTYALI","SUB-DIVISION","OVERALL",8290,2504,4400,1356,2534,3902,945
"BALOCHISTAN","LORALAI","DUKI","THAL CHUTYALI","SUB-DIVISION","RURAL",8290,2504,4400,1356,2534,3902,945
"BALOCHISTAN","LORALAI","DUKI","THAL CHUTYALI","SUB-DIVISION","URBAN",NA,NA,NA,NA,NA,NA,NA
