District,Metric,Status
Pakpattan,Energy_Flag_Elec,âœ“
Pakpattan,San_Flag,âœ“
Pakpattan,Wtr_Flag,âœ“
Sahiwal,Literacy_Flag,âœ“
Sahiwal,Attendance_Flag,âœ“
Sahiwal,Energy_Flag_Elec,âœ“
Sahiwal,San_Flag,âœ“
Sahiwal,Wtr_Flag,âœ“
Bhakkar,Literacy_Flag,âœ“
Bhakkar,Attendance_Flag,âœ“
Bhakkar,Energy_Flag_Elec,âœ“
Bhakkar,San_Flag,âœ“
Bhakkar,Wtr_Flag,âœ“
Khushab,Literacy_Flag,âœ“
Khushab,Attendance_Flag,âœ“
Khushab,Energy_Flag_Elec,âœ“
Khushab,San_Flag,âœ“
Khushab,Wtr_Flag,âœ“
Mianwali,Literacy_Flag,âœ“
Mianwali,Attendance_Flag,âœ“
Mianwali,Energy_Flag_Elec,âœ“
Mianwali,San_Flag,âœ“
Mianwali,Wtr_Flag,âœ“
Sargodha,Literacy_Flag,âœ“
Sargodha,Attendance_Flag,âœ“
Sargodha,Energy_Flag_Elec,âœ“
Sargodha,San_Flag,âœ“
Sargodha,Wtr_Flag,âœ“
Badin,Literacy_Flag,âœ“
Badin,Attendance_Flag,âœ“
Badin,Energy_Flag_Elec,âœ“
Badin,San_Flag,âœ“
Badin,Wtr_Flag,âœ“
Dadu,Literacy_Flag,âœ“
Dadu,Attendance_Flag,âœ“
Dadu,Energy_Flag_Elec,âœ“
Dadu,San_Flag,âœ“
Dadu,Wtr_Flag,âœ“
Hyderabad,Literacy_Flag,âœ“
Hyderabad,Attendance_Flag,âœ“
Hyderabad,Energy_Flag_Elec,âœ“
Hyderabad,San_Flag,âœ“
Hyderabad,Wtr_Flag,âœ“
Jamshoro,Literacy_Flag,âœ“
Jamshoro,Attendance_Flag,âœ“
Jamshoro,Energy_Flag_Elec,âœ“
Jamshoro,San_Flag,âœ“
Jamshoro,Wtr_Flag,âœ“
Matiari,Literacy_Flag,âœ“
Matiari,Attendance_Flag,âœ“
Matiari,Energy_Flag_Elec,âœ“
Matiari,San_Flag,âœ“
Matiari,Wtr_Flag,âœ“
Sujawal,Literacy_Flag,âœ“
Sujawal,Attendance_Flag,âœ“
Sujawal,Energy_Flag_Elec,âœ“
Sujawal,San_Flag,âœ“
Sujawal,Wtr_Flag,âœ“
Tando Allahyar,Literacy_Flag,âœ“
Tando Allahyar,Attendance_Flag,âœ“
Tando Allahyar,Energy_Flag_Elec,âœ“
Tando Allahyar,San_Flag,âœ“
Tando Allahyar,Wtr_Flag,âœ“
Tando Muhammad Khan,Literacy_Flag,âœ“
Tando Muhammad Khan,Attendance_Flag,âœ“
Tando Muhammad Khan,Energy_Flag_Elec,âœ“
Tando Muhammad Khan,San_Flag,âœ“
Tando Muhammad Khan,Wtr_Flag,âœ“
Thatta,Literacy_Flag,âœ“
Thatta,Attendance_Flag,âœ“
Thatta,Energy_Flag_Elec,âœ“
Thatta,San_Flag,âœ“
Thatta,Wtr_Flag,âœ“
Karachi Central,Literacy_Flag,âœ“
Karachi Central,Attendance_Flag,âœ“
Karachi Central,Energy_Flag_Elec,âœ“
Karachi Central,San_Flag,âœ“
Karachi Central,Wtr_Flag,âœ“
Karachi East,Literacy_Flag,âœ“
Karachi East,Attendance_Flag,âœ“
Karachi East,Energy_Flag_Elec,âœ“
Karachi East,San_Flag,âœ“
Karachi East,Wtr_Flag,âœ“
Karachi South,Literacy_Flag,âœ“
Karachi South,Attendance_Flag,âœ“
Karachi South,Energy_Flag_Elec,âœ“
Karachi South,San_Flag,âœ“
Karachi South,Wtr_Flag,âœ“
Karachi West,Literacy_Flag,âœ“
Karachi West,Attendance_Flag,âœ“
Karachi West,Energy_Flag_Elec,âœ“
Karachi West,San_Flag,âœ“
Karachi West,Wtr_Flag,âœ“
Keamari,Literacy_Flag,âœ“
Keamari,Attendance_Flag,âœ“
Keamari,Energy_Flag_Elec,âœ“
Keamari,San_Flag,âœ“
Keamari,Wtr_Flag,âœ“
Korangi,Literacy_Flag,âœ“
Korangi,Attendance_Flag,âœ“
Korangi,Energy_Flag_Elec,âœ“
Korangi,San_Flag,âœ“
Korangi,Wtr_Flag,âœ“
Malir,Literacy_Flag,âœ“
Malir,Attendance_Flag,âœ“
Malir,Energy_Flag_Elec,âœ“
Malir,San_Flag,âœ“
Malir,Wtr_Flag,âœ“
Jacobabad,Literacy_Flag,âœ“
Jacobabad,Attendance_Flag,âœ“
Jacobabad,Energy_Flag_Elec,âœ“
Jacobabad,San_Flag,âœ“
Jacobabad,Wtr_Flag,âœ“
Kambar Shahdad Kot,Literacy_Flag,âœ“
Kambar Shahdad Kot,Attendance_Flag,âœ“
Kambar Shahdad Kot,Energy_Flag_Elec,âœ“
Kambar Shahdad Kot,San_Flag,âœ“
Kambar Shahdad Kot,Wtr_Flag,âœ“
Kashmore,Literacy_Flag,âœ“
Kashmore,Attendance_Flag,âœ“
Kashmore,Energy_Flag_Elec,âœ“
Kashmore,San_Flag,âœ“
Kashmore,Wtr_Flag,âœ“
Larkana,Literacy_Flag,âœ“
Larkana,Attendance_Flag,âœ“
Larkana,Energy_Flag_Elec,âœ“
Larkana,San_Flag,âœ“
Larkana,Wtr_Flag,âœ“
Shikarpur,Literacy_Flag,âœ“
Shikarpur,Attendance_Flag,âœ“
Shikarpur,Energy_Flag_Elec,âœ“
Shikarpur,San_Flag,âœ“
Shikarpur,Wtr_Flag,âœ“
Mirpur Khas,Literacy_Flag,âœ“
Mirpur Khas,Attendance_Flag,âœ“
Mirpur Khas,Energy_Flag_Elec,âœ“
Mirpur Khas,San_Flag,âœ“
Mirpur Khas,Wtr_Flag,âœ“
Tharparkar,Literacy_Flag,âœ“
Tharparkar,Attendance_Flag,âœ“
Tharparkar,Energy_Flag_Elec,âœ“
Tharparkar,San_Flag,âœ“
Tharparkar,Wtr_Flag,âœ“
Umer Kot,Literacy_Flag,âœ“
Umer Kot,Attendance_Flag,âœ“
Umer Kot,Energy_Flag_Elec,âœ“
Umer Kot,San_Flag,âœ“
Umer Kot,Wtr_Flag,âœ“
Naushahro Feroze,Literacy_Flag,âœ“
Naushahro Feroze,Attendance_Flag,âœ“
Naushahro Feroze,Energy_Flag_Elec,âœ“
Naushahro Feroze,San_Flag,âœ“
Naushahro Feroze,Wtr_Flag,âœ“
Sanghar,Literacy_Flag,âœ“
Sanghar,Attendance_Flag,âœ“
Sanghar,Energy_Flag_Elec,âœ“
Sanghar,San_Flag,âœ“
Sanghar,Wtr_Flag,âœ“
Shaheed Benazirabad,Literacy_Flag,âœ“
Shaheed Benazirabad,Attendance_Flag,âœ“
Shaheed Benazirabad,Energy_Flag_Elec,âœ“
Shaheed Benazirabad,San_Flag,âœ“
Shaheed Benazirabad,Wtr_Flag,âœ“
Ghotki,Literacy_Flag,âœ“
Ghotki,Attendance_Flag,âœ“
Ghotki,Energy_Flag_Elec,âœ“
Ghotki,San_Flag,âœ“
Ghotki,Wtr_Flag,âœ“
Khairpur,Literacy_Flag,âœ“
Khairpur,Attendance_Flag,âœ“
Khairpur,Energy_Flag_Elec,âœ“
Khairpur,San_Flag,âœ“
Khairpur,Wtr_Flag,âœ“
Sukkur,Literacy_Flag,âœ“
Sukkur,Attendance_Flag,âœ“
Sukkur,Energy_Flag_Elec,âœ“
Sukkur,San_Flag,âœ“
Sukkur,Wtr_Flag,âœ“
Bannu,Literacy_Flag,âœ“
Bannu,Attendance_Flag,âœ“
Bannu,Energy_Flag_Elec,âœ“
Bannu,San_Flag,âœ“
Bannu,Wtr_Flag,âœ“
Lakki Marwat,Literacy_Flag,âœ“
Lakki Marwat,Attendance_Flag,âœ“
Lakki Marwat,Energy_Flag_Elec,âœ“
Lakki Marwat,San_Flag,âœ“
Lakki Marwat,Wtr_Flag,âœ“
North Waziristan,Literacy_Flag,âœ“
North Waziristan,Attendance_Flag,âœ“
North Waziristan,Energy_Flag_Elec,âœ“
North Waziristan,San_Flag,âœ“
North Waziristan,Wtr_Flag,âœ“
Dera Ismail Khan,Literacy_Flag,âœ“
Dera Ismail Khan,Attendance_Flag,âœ“
Dera Ismail Khan,Energy_Flag_Elec,âœ“
Dera Ismail Khan,San_Flag,âœ“
Dera Ismail Khan,Wtr_Flag,âœ“
South Waziristan,Literacy_Flag,âœ“
South Waziristan,Attendance_Flag,âœ“
South Waziristan,Energy_Flag_Elec,âœ“
South Waziristan,San_Flag,âœ“
South Waziristan,Wtr_Flag,âœ“
Tank,Literacy_Flag,âœ“
Tank,Attendance_Flag,âœ“
Tank,Energy_Flag_Elec,âœ“
Tank,San_Flag,âœ“
Tank,Wtr_Flag,âœ“
Abbottabad,Literacy_Flag,âœ“
