"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","VARS","ALL_SEXES_OVERALL","MALE_OVERALL","FEMALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","MALE_RURAL","FEMALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","MALE_URBAN","FEMALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Population >=5",36749,18419,18326,4,13707,6807,6900,NA,23042,11612,11426,4
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Population >=10",28195,14074,14117,4,10384,5165,5219,NA,17811,8909,8898,4
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Literate >=10",12097,7164,4930,3,3790,2302,1488,NA,8307,4862,3442,3
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Literate %",42.9,50.9,34.92,75,36.5,44.57,28.51,NA,46.64,54.57,38.68,75
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Ever Attended",16510,9334,7173,3,5732,3255,2477,NA,10778,6079,4696,3
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Primary Completed",1352,728,624,NA,412,230,182,NA,940,498,442,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Primary",6021,2915,3106,NA,2498,1232,1266,NA,3523,1683,1840,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Middle",2235,1189,1046,NA,713,393,320,NA,1522,796,726,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Matric",984,514,469,1,297,171,126,NA,687,343,343,1
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Intermidiate",746,398,346,2,256,147,109,NA,490,251,237,2
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Enrolment Graduation above",702,438,264,NA,288,177,111,NA,414,261,153,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Never to School (all)",20239,9085,11153,1,7975,3552,4423,NA,12264,5533,6730,1
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Drop Out (5 - 16)",716,362,354,NA,257,131,126,NA,459,231,228,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Never to School (5-16)",6943,3485,3457,1,2699,1256,1443,NA,4244,2229,2014,1
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","Out of School Children (5-16)",7659,3847,3811,1,2956,1387,1569,NA,4703,2460,2242,1
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Population >=5",26236,13419,12814,3,26236,13419,12814,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Population >=10",20875,10658,10214,3,20875,10658,10214,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Literate >=10",7585,4875,2709,1,7585,4875,2709,1,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Literate %",36.34,45.74,26.52,33.33,36.34,45.74,26.52,33.33,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Ever Attended",10927,6626,4301,NA,10927,6626,4301,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Primary Completed",987,552,435,NA,987,552,435,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Enrolment Primary",4508,2332,2176,NA,4508,2332,2176,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Enrolment Middle",1436,818,618,NA,1436,818,618,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Enrolment Matric",519,297,222,NA,519,297,222,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Enrolment Intermidiate",419,274,145,NA,419,274,145,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Enrolment Graduation above",279,214,65,NA,279,214,65,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Never to School (all)",15309,6793,8513,3,15309,6793,8513,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Drop Out (5 - 16)",504,277,227,NA,504,277,227,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Never to School (5-16)",4251,2063,2188,NA,4251,2063,2188,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","GISHKORE","TEHSIL","Out of School Children (5-16)",4755,2340,2415,NA,4755,2340,2415,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Population >=5",23016,11822,11191,3,23016,11822,11191,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Population >=10",17843,9161,8679,3,17843,9161,8679,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Literate >=10",4750,3056,1694,NA,4750,3056,1694,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Literate %",26.62,33.36,19.52,NA,26.62,33.36,19.52,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Ever Attended",6350,3782,2568,NA,6350,3782,2568,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Primary Completed",567,369,198,NA,567,369,198,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Enrolment Primary",3002,1604,1398,NA,3002,1604,1398,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Enrolment Middle",534,362,172,NA,534,362,172,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Enrolment Matric",217,138,79,NA,217,138,79,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Enrolment Intermidiate",223,144,79,NA,223,144,79,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Enrolment Graduation above",144,103,41,NA,144,103,41,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Never to School (all)",16666,8040,8623,3,16666,8040,8623,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Drop Out (5 - 16)",314,150,164,NA,314,150,164,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Never to School (5-16)",6334,3124,3210,NA,6334,3124,3210,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","JHAL JAO","TEHSIL","Out of School Children (5-16)",6648,3274,3374,NA,6648,3274,3374,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Population >=5",22600,11697,10902,1,22600,11697,10902,1,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Population >=10",17457,9077,8379,1,17457,9077,8379,1,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Literate >=10",4662,3149,1512,1,4662,3149,1512,1,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Literate %",26.71,34.69,18.05,100,26.71,34.69,18.05,100,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Ever Attended",6305,3902,2402,1,6305,3902,2402,1,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Primary Completed",462,290,172,NA,462,290,172,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Enrolment Primary",3218,1708,1510,NA,3218,1708,1510,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Enrolment Middle",529,321,208,NA,529,321,208,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Enrolment Matric",192,128,64,NA,192,128,64,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Enrolment Intermidiate",136,100,35,1,136,100,35,1,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Enrolment Graduation above",88,69,19,NA,88,69,19,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Never to School (all)",16295,7795,8500,NA,16295,7795,8500,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Drop Out (5 - 16)",291,144,147,NA,291,144,147,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Never to School (5-16)",6371,3189,3182,NA,6371,3189,3182,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","KORAK JHAO","TEHSIL","Out of School Children (5-16)",6662,3333,3329,NA,6662,3333,3329,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Population >=5",38876,20248,18622,6,23392,12045,11342,5,15484,8203,7280,1
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Population >=10",32039,16829,15204,6,18990,9876,9109,5,13049,6953,6095,1
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Literate >=10",13204,8233,4971,NA,7645,4791,2854,NA,5559,3442,2117,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Literate %",41.21,48.92,32.7,NA,40.26,48.51,31.33,NA,42.6,49.5,34.73,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Ever Attended",15544,9281,6263,NA,8517,5155,3362,NA,7027,4126,2901,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Primary Completed",1240,689,551,NA,792,483,309,NA,448,206,242,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Enrolment Primary",4893,2455,2438,NA,3140,1600,1540,NA,1753,855,898,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Enrolment Middle",1820,1016,804,NA,905,502,403,NA,915,514,401,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Enrolment Matric",742,416,326,NA,385,228,157,NA,357,188,169,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Enrolment Intermidiate",620,360,260,NA,321,191,130,NA,299,169,130,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Enrolment Graduation above",655,403,252,NA,214,142,72,NA,441,261,180,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Never to School (all)",23332,10967,12359,6,14875,6890,7980,5,8457,4077,4379,1
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Drop Out (5 - 16)",686,357,329,NA,406,217,189,NA,280,140,140,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Never to School (5-16)",7041,3532,3509,NA,4745,2319,2426,NA,2296,1213,1083,NA
"BALOCHISTAN","KALAT","AWARAN","MASHKAI","TEHSIL","Out of School Children (5-16)",7727,3889,3838,NA,5151,2536,2615,NA,2576,1353,1223,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Population >=5",166523,86971,79544,8,154581,80835,73739,7,11942,6136,5805,1
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Population >=10",125459,65355,60096,8,115952,60482,55463,7,9507,4873,4633,1
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Literate >=10",42185,27205,14979,1,36678,23793,12884,1,5507,3412,2095,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Literate %",33.62,41.63,24.93,12.5,31.63,39.34,23.23,14.29,57.93,70.02,45.22,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Ever Attended",54468,39483,14984,1,47051,34940,12110,1,7417,4543,2874,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Primary Completed",3720,2412,1308,NA,3258,2116,1142,NA,462,296,166,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Enrolment Primary",26723,19964,6759,NA,24408,18638,5770,NA,2315,1326,989,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Enrolment Middle",4448,2862,1586,NA,3710,2431,1279,NA,738,431,307,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Enrolment Matric",1879,1213,666,NA,1600,1085,515,NA,279,128,151,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Enrolment Intermidiate",1573,1046,527,NA,1300,912,388,NA,273,134,139,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Enrolment Graduation above",1644,1184,459,1,1329,1010,318,1,315,174,141,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Never to School (all)",112055,47488,64560,7,107530,45895,61629,6,4525,1593,2931,1
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Drop Out (5 - 16)",2932,1851,1081,NA,2401,1440,961,NA,531,411,120,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Never to School (5-16)",43232,16226,27002,4,42162,15868,26290,4,1070,358,712,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","Out of School Children (5-16)",46164,18077,28083,4,44563,17308,27251,4,1601,769,832,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Population >=5",59902,30377,29522,3,59902,30377,29522,3,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Population >=10",46374,23537,22834,3,46374,23537,22834,3,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Literate >=10",11022,8146,2875,1,11022,8146,2875,1,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Literate %",23.77,34.61,12.59,33.33,23.77,34.61,12.59,33.33,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Ever Attended",15227,10468,4758,1,15227,10468,4758,1,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Primary Completed",1365,995,370,NA,1365,995,370,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Enrolment Primary",5990,3321,2669,NA,5990,3321,2669,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Enrolment Middle",873,629,244,NA,873,629,244,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Enrolment Matric",348,258,90,NA,348,258,90,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Enrolment Intermidiate",256,205,51,NA,256,205,51,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Enrolment Graduation above",198,155,43,NA,198,155,43,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Never to School (all)",44675,19909,24764,2,44675,19909,24764,2,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Drop Out (5 - 16)",840,504,336,NA,840,504,336,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Never to School (5-16)",18288,8341,9945,2,18288,8341,9945,2,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","CHAGAI","TEHSIL","Out of School Children (5-16)",19128,8845,10281,2,19128,8845,10281,2,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Population >=5",99119,51326,47792,1,82249,42705,39543,1,16870,8621,8249,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Population >=10",76869,39782,37086,1,63323,32856,30466,1,13546,6926,6620,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Literate >=10",30054,19002,11052,NA,22214,14431,7783,NA,7840,4571,3269,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Literate %",39.1,47.77,29.8,NA,35.08,43.92,25.55,NA,57.88,66,49.38,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Ever Attended",34977,21626,13351,NA,26804,16917,9887,NA,8173,4709,3464,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Primary Completed",4037,2341,1696,NA,3339,1980,1359,NA,698,361,337,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Enrolment Primary",11290,6052,5238,NA,9481,5221,4260,NA,1809,831,978,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Enrolment Middle",2870,1754,1116,NA,1932,1245,687,NA,938,509,429,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Enrolment Matric",998,599,399,NA,618,403,215,NA,380,196,184,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Enrolment Intermidiate",1014,640,374,NA,641,443,198,NA,373,197,176,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Enrolment Graduation above",697,440,257,NA,417,275,142,NA,280,165,115,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Never to School (all)",64142,29700,34441,1,55445,25788,29656,1,8697,3912,4785,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Drop Out (5 - 16)",3009,1617,1392,NA,2544,1371,1173,NA,465,246,219,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Never to School (5-16)",26076,12803,13272,1,22554,10946,11607,1,3522,1857,1665,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","DALBANDIN","SUB-DIVISION","Out of School Children (5-16)",29085,14420,14664,1,25098,12317,12780,1,3987,2103,1884,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Population >=5",23219,12596,10622,1,23219,12596,10622,1,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Population >=10",17290,9340,7949,1,17290,9340,7949,1,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Literate >=10",8397,5190,3206,1,8397,5190,3206,1,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Literate %",48.57,55.57,40.33,100,48.57,55.57,40.33,100,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Ever Attended",10000,6062,3937,1,10000,6062,3937,1,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Primary Completed",1490,861,629,NA,1490,861,629,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Enrolment Primary",3638,1948,1690,NA,3638,1948,1690,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Enrolment Middle",806,467,339,NA,806,467,339,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Enrolment Matric",321,193,128,NA,321,193,128,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Enrolment Intermidiate",197,124,73,NA,197,124,73,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Enrolment Graduation above",114,65,49,NA,114,65,49,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Never to School (all)",13219,6534,6685,NA,13219,6534,6685,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Drop Out (5 - 16)",944,493,450,1,944,493,450,1,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Never to School (5-16)",6384,3525,2859,NA,6384,3525,2859,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","NOKUNDI","TEHSIL","Out of School Children (5-16)",7328,4018,3309,1,7328,4018,3309,1,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Population >=5",15440,8765,6675,NA,15440,8765,6675,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Population >=10",11813,6867,4946,NA,11813,6867,4946,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Literate >=10",2327,1903,424,NA,2327,1903,424,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Literate %",19.7,27.71,8.57,NA,19.7,27.71,8.57,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Ever Attended",3276,2193,1083,NA,3276,2193,1083,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Primary Completed",385,288,97,NA,385,288,97,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Enrolment Primary",1414,752,662,NA,1414,752,662,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Enrolment Middle",157,100,57,NA,157,100,57,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Enrolment Matric",40,26,14,NA,40,26,14,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Enrolment Intermidiate",38,24,14,NA,38,24,14,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Enrolment Graduation above",13,11,2,NA,13,11,2,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Never to School (all)",12164,6572,5592,NA,12164,6572,5592,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Drop Out (5 - 16)",295,200,95,NA,295,200,95,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Never to School (5-16)",5385,2940,2445,NA,5385,2940,2445,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","TAFTAN","SUB-DIVISION","Out of School Children (5-16)",5680,3140,2540,NA,5680,3140,2540,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Population >=5",18776,9745,9031,NA,18776,9745,9031,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Population >=10",14842,7800,7042,NA,14842,7800,7042,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Literate >=10",3616,2349,1267,NA,3616,2349,1267,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Literate %",24.36,30.12,17.99,NA,24.36,30.12,17.99,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Ever Attended",4168,2730,1438,NA,4168,2730,1438,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Primary Completed",486,350,136,NA,486,350,136,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Enrolment Primary",1707,905,802,NA,1707,905,802,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Enrolment Middle",203,146,57,NA,203,146,57,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Enrolment Matric",91,67,24,NA,91,67,24,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Enrolment Intermidiate",69,53,16,NA,69,53,16,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Enrolment Graduation above",26,19,7,NA,26,19,7,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Never to School (all)",14608,7015,7593,NA,14608,7015,7593,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Drop Out (5 - 16)",397,233,164,NA,397,233,164,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Never to School (5-16)",6573,3300,3273,NA,6573,3300,3273,NA,NA,NA,NA,NA
"BALOCHISTAN","RAKHSHAN","CHAGAI","YAK MACHH","SUB-TEHSIL","Out of School Children (5-16)",6970,3533,3437,NA,6970,3533,3437,NA,NA,NA,NA,NA
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","Population >=5",105817,57373,48443,1,NA,NA,NA,NA,105817,57373,48443,1
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","Population >=10",84069,45201,38867,1,NA,NA,NA,NA,84069,45201,38867,1
NA,NA,"CHAMAN","CHAMAN CITY","SUB-DIVISION","Literate >=10",43174,27695,15479,NA,NA,NA,NA,NA,43174,27695,15479,NA
