"PROVINCE","DIVISION","DISTRICT","TEHSIL","ADMIN_UNIT","LANGUAGE","ALL_SEXES_OVERALL","FEMALE_OVERALL","MALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","FEMALE_RURAL","MALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","FEMALE_URBAN","MALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","BALOCHI",1135,546,589,NA,1135,546,589,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","BRAHVI",48420,21465,26952,3,48420,21465,26952,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","HINDKO",29,14,15,NA,29,14,15,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","KASHMIRI",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","OTHERS",11,7,4,NA,11,7,4,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","PUNJABI",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","PUSHTO",880,422,458,NA,880,422,458,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","SARAIKI",3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","SHINA",17,7,10,NA,17,7,10,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","SINDHI",22,8,14,NA,22,8,14,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","TOTAL",50533,22475,28055,3,50533,22475,28055,3,NA,NA,NA,NA
"BALOCHISTAN","KALAT","KHUZDAR","ARANJI","SUB-TEHSIL","URDU",14,5,9,NA,14,5,9,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","BALOCHI",22,15,7,NA,22,15,7,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","BRAHVI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","HINDKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","KASHMIRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","OTHERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","PUNJABI",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","PUSHTO",25064,11538,13526,NA,25064,11538,13526,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","SARAIKI",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","SINDHI",2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","TOTAL",25094,11560,13534,NA,25094,11560,13534,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","ZHOB","ASHWAT","SUB-TEHSIL","URDU",4,3,1,NA,4,3,1,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","BALOCHI",45665,22529,23132,4,16967,8467,8500,NA,28698,14062,14632,4
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","BRAHVI",20,7,13,NA,7,2,5,NA,13,5,8,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","HINDKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","KASHMIRI",22,12,10,NA,7,4,3,NA,15,8,7,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","OTHERS",2,1,1,NA,NA,NA,NA,NA,2,1,1,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","PUNJABI",3,2,1,NA,NA,NA,NA,NA,3,2,1,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","PUSHTO",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","SARAIKI",2,1,1,NA,NA,NA,NA,NA,2,1,1,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","SINDHI",23,10,13,NA,NA,NA,NA,NA,23,10,13,NA
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","TOTAL",45774,22582,23188,4,16994,8481,8513,NA,28780,14101,14675,4
"BALOCHISTAN","KALAT","AWARAN","AWARAN","SUB-DIVISION","URDU",36,19,17,NA,12,7,5,NA,24,12,12,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","BALOCHI",23503,10686,12817,NA,23503,10686,12817,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","BRAHVI",21041,9893,11146,2,21041,9893,11146,2,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","HINDKO",58,31,27,NA,58,31,27,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","KASHMIRI",8,4,4,NA,8,4,4,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","OTHERS",62,29,33,NA,62,29,33,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","PUNJABI",3,1,2,NA,3,1,2,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","PUSHTO",7,2,5,NA,7,2,5,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","SARAIKI",3595,1810,1785,NA,3595,1810,1785,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","SINDHI",5367,2557,2810,NA,5367,2557,2810,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","TOTAL",53661,25022,28637,2,53661,25022,28637,2,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","NASIRABAD","BABA KOT","TEHSIL","URDU",17,9,8,NA,17,9,8,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","BALOCHI",7,3,4,NA,7,3,4,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","BRAHVI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","HINDKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","KASHMIRI",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","OTHERS",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","PUNJABI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","PUSHTO",20622,9110,11512,NA,20622,9110,11512,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","SARAIKI",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","SINDHI",2,2,NA,NA,2,2,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","TOTAL",20640,9121,11519,NA,20640,9121,11519,NA,NA,NA,NA,NA
"BALOCHISTAN","ZHOB","KILLA SAIFULLAH","BADINI","SUB-TEHSIL","URDU",6,6,NA,NA,6,6,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","BALOCHI",33382,14661,18721,NA,33382,14661,18721,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","BRAHVI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","HINDKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","KASHMIRI",17,7,10,NA,17,7,10,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","KOHIOSTANI",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","OTHERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","PUNJABI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","PUSHTO",4,2,2,NA,4,2,2,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","SARAIKI",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","SINDHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","TOTAL",33410,14674,18736,NA,33410,14674,18736,NA,NA,NA,NA,NA
"BALOCHISTAN","SIBI","DERA BUGTI","BAIKER","SUB-TEHSIL","URDU",5,3,2,NA,5,3,2,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","BALOCHI",20606,8926,11678,2,20606,8926,11678,2,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","BRAHVI",6970,3381,3589,NA,6970,3381,3589,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","HINDKO",21,11,10,NA,21,11,10,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","KASHMIRI",81,35,46,NA,81,35,46,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","OTHERS",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","PUNJABI",26,15,11,NA,26,15,11,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","PUSHTO",162,77,85,NA,162,77,85,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","SARAIKI",25834,12179,13655,NA,25834,12179,13655,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","SHINA",2,1,1,NA,2,1,1,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","SINDHI",6313,3113,3200,NA,6313,3113,3200,NA,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","TOTAL",60158,27811,32345,2,60158,27811,32345,2,NA,NA,NA,NA
"BALOCHISTAN","NASIRABAD","KACHHI","BALANARI","SUB-TEHSIL","URDU",142,73,69,NA,142,73,69,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","BALOCHI",50326,24290,26036,NA,50326,24290,26036,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","BRAHVI",3,1,2,NA,3,1,2,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","HINDKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","KASHMIRI",38,24,14,NA,38,24,14,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","OTHERS",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","PUNJABI",4,1,3,NA,4,1,3,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","PUSHTO",2,1,1,NA,2,1,1,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","SARAIKI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","SINDHI",7,3,4,NA,7,3,4,NA,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","TOTAL",50404,24328,26075,1,50404,24328,26075,1,NA,NA,NA,NA
"BALOCHISTAN","MEKRAN","KECH","BALNIGORE","SUB-TEHSIL","URDU",23,8,14,1,23,8,14,1,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","BALOCHI",207354,99133,108213,8,194405,92862,101536,7,12949,6271,6677,1
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","BRAHVI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","HINDKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","KASHMIRI",127,69,58,NA,106,58,48,NA,21,11,10,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","OTHERS",56,27,29,NA,8,3,5,NA,48,24,24,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","PUNJABI",173,87,86,NA,52,25,27,NA,121,62,59,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","PUSHTO",1138,585,553,NA,909,474,435,NA,229,111,118,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","SARAIKI",1274,653,621,NA,236,116,120,NA,1038,537,501,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","SINDHI",1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","TOTAL",210249,100617,109624,8,195824,93591,102226,7,14425,7026,7398,1
"BALOCHISTAN","LORALAI","BARKHAN","BARKHAN","TEHSIL","URDU",126,62,64,NA,107,52,55,NA,19,10,9,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","BALOCHI",141,58,83,NA,141,58,83,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","BALTI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","BRAHVI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","HINDKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","KALASHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","KASHMIRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","MEWATI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","OTHERS",3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","PUNJABI",93,42,51,NA,93,42,51,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","PUSHTO",141673,66833,74831,9,141673,66833,74831,9,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","SARAIKI",4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","SHINA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","SINDHI",26,11,15,NA,26,11,15,NA,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","TOTAL",141994,66975,75010,9,141994,66975,75010,9,NA,NA,NA,NA
"BALOCHISTAN","QUETTA","PISHIN","BARSHORE","TEHSIL","URDU",54,31,23,NA,54,31,23,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","BALOCHI",106105,50987,55109,9,81215,39683,41524,8,24890,11304,13585,1
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","BALTI",2,1,1,NA,NA,NA,NA,NA,2,1,1,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","BRAHVI",4327,2138,2189,NA,4109,2026,2083,NA,218,112,106,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","HINDKO",42,18,24,NA,40,18,22,NA,2,NA,2,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","KALASHA",1,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","KASHMIRI",61,24,37,NA,33,17,16,NA,28,7,21,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","KOHIOSTANI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","MEWATI",102,52,50,NA,102,52,50,NA,NA,NA,NA,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","OTHERS",5636,2724,2912,NA,3293,1567,1726,NA,2343,1157,1186,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","PUNJABI",281,136,145,NA,82,41,41,NA,199,95,104,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","PUSHTO",1653,790,863,NA,1018,493,525,NA,635,297,338,NA
"BALOCHISTAN","KALAT","LASBELA","BELA","SUB-DIVISION","SARAIKI",269,129,140,NA,147,71,76,NA,122,58,64,NA
